GroupID,TillerNumber,Z_Score,sd(n-1),GfMean
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,6,1.203131085,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,6,1.203131085,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,7,2.722875613,0.65800533,5.208333333
R780,7,2.722875613,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,7,2.722875613,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,4,-1.836357972,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,7,2.722875613,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,6,1.203131085,0.65800533,5.208333333
R780,7,2.722875613,0.65800533,5.208333333
R780,5,-0.316613443,0.65800533,5.208333333
