GroupID,TillerNumber11D,TillerNumber16D,TillerNumber21D,TillerNumber26D,TillerNumber31D,TillerNumber36D,TillerNumber42D,TillerNumber47D
Negative3FoldSynCom,1,2,2,4,5,5,5,5
Negative3FoldSynCom,0,2,3,3,4,4,4,4
Negative3FoldSynCom,1,2,2,4,4,5,5,5
EqualAmountSynCom,1,2,3,5,5,5,5,5
EqualAmountSynCom,1,2,3,4,5,5,5,5
EqualAmountSynCom,1,2,4,4,6,6,6,6
EqualAmountSynCom,1,2,3,5,5,5,5,5
EqualAmountSynCom,1,2,3,4,4,4,4,4
EqualAmountSynCom,1,2,3,4,4,4,4,4
EqualAmountSynCom,1,2,2,4,5,5,5,5
EqualAmountSynCom,1,2,4,5,5,5,5,5
EqualAmountSynCom,1,2,3,5,5,6,6,6
EqualAmountSynCom,1,2,4,5,5,5,5,5
EqualAmountSynCom,1,2,3,5,5,6,6,6
EqualAmountSynCom,1,2,3,5,5,5,5,5
EqualAmountSynCom,1,2,3,4,4,4,4,4
EqualAmountSynCom,1,2,3,5,5,5,5,5
EqualAmountSynCom,1,2,3,4,5,5,5,5
EqualAmountSynCom,1,2,3,5,5,6,6,6
EqualAmountSynCom,1,2,4,4,5,5,5,5
EqualAmountSynCom,1,2,2,4,5,5,5,5
EqualAmountSynCom,1,2,3,5,5,6,6,6
EqualAmountSynCom,1,2,3,5,5,5,5,5
EqualAmountSynCom,1,2,4,5,6,6,6,6
EqualAmountSynCom,1,2,3,5,5,5,5,5
Positive10FoldSynCom,1,2,3,5,5,5,5,5
Positive10FoldSynCom,1,2,3,5,5,5,5,5
Positive10FoldSynCom,2,2,4,5,5,6,6,6
Positive10FoldSynCom,2,2,3,5,6,7,7,7
Positive10FoldSynCom,1,2,3,5,5,5,5,5
Positive10FoldSynCom,1,2,4,5,5,5,5,5
Positive10FoldSynCom,2,2,3,5,5,5,6,6
Positive10FoldSynCom,1,2,3,5,5,7,7,7
Positive10FoldSynCom,1,2,3,5,5,5,5,5
Positive10FoldSynCom,1,2,3,5,5,5,5,5
Positive10FoldSynCom,1,2,3,5,5,6,6,6
Positive10FoldSynCom,1,2,4,5,6,6,6,6
Positive10FoldSynCom,1,2,3,5,5,7,7,7
Positive10FoldSynCom,1,2,3,5,5,6,6,6
Positive10FoldSynCom,1,2,3,5,5,6,6,6
Positive10FoldSynCom,1,3,4,5,5,7,7,7
Positive10FoldSynCom,1,2,3,5,5,5,6,6
Positive10FoldSynCom,1,2,3,5,5,5,6,7
Positive10FoldSynCom,2,2,4,5,5,7,7,7
Positive10FoldSynCom,1,2,3,6,6,6,6,6
Positive10FoldSynCom,2,2,4,5,6,6,6,6
Positive10FoldSynCom,2,3,3,6,6,6,6,6
Positive3FoldSynCom,2,3,4,5,5,7,7,7
Positive3FoldSynCom,2,2,4,5,5,6,6,6
Positive3FoldSynCom,2,3,4,6,6,6,6,6
Positive3FoldSynCom,2,2,3,5,5,6,6,6
Positive3FoldSynCom,1,2,3,5,5,5,5,5
Positive3FoldSynCom,2,2,3,5,5,6,6,6
Positive3FoldSynCom,1,2,3,5,5,5,5,5
Positive3FoldSynCom,1,2,4,5,5,5,5,5
Positive3FoldSynCom,2,3,3,5,6,6,6,6
Positive3FoldSynCom,1,2,3,5,5,5,6,6
Positive3FoldSynCom,2,2,4,5,5,6,6,6
Positive3FoldSynCom,2,3,3,5,5,6,6,6
Positive3FoldSynCom,1,2,3,5,5,5,5,5
Positive3FoldSynCom,1,2,4,5,5,5,5,5
Positive3FoldSynCom,1,2,3,4,5,5,5,5
Positive3FoldSynCom,1,2,4,5,5,5,5,5
Positive3FoldSynCom,1,3,3,4,4,5,6,6
Positive3FoldSynCom,1,2,4,4,6,6,6,6
Positive3FoldSynCom,1,2,3,5,5,5,5,5
Positive3FoldSynCom,1,2,4,5,5,5,5,5
Positive3FoldSynCom,1,2,3,5,6,6,6,6
Positive3FoldSynCom,1,2,3,4,5,5,5,5
Positive3FoldSynCom,1,2,3,5,5,5,6,6
Positive3FoldSynCom,1,2,3,5,6,6,6,6
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,6,6,6,6
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,6,6,6
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,4,5,6,6,6
Mock,1,2,3,5,6,6,6,6
Mock,1,2,3,4,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,4,4,5,5,5
Mock,1,2,3,4,4,4,4,4
Mock,1,2,3,4,5,7,7,7
Mock,1,2,3,4,4,4,4,4
Mock,1,2,3,5,6,6,6,6
Mock,1,2,2,4,5,5,5,5
Mock,1,2,3,5,5,5,5,5
Mock,1,2,3,5,5,5,5,5
