Genus	CAP1	CAP2	tiller	height	wetWeight	Subspecies
G4065	-0.104891525683276	0.10011438491889	20.3333333333333	77	81.1166666666667	IND
G4066	0.20049019101938	0.0354663489234011	32.3333333333333	85.3333333333333	125.313333333333	IND
G4068	-0.030210875670544	0.163699942490536	26	108.666666666667	181.216666666667	AUS
G4069	-0.023835775402985	0.0962371403937643	29.6666666666667	89.3333333333333	179.82	AUS
G4070	0.124564763835831	0.122647725904504	35.6666666666667	71.6666666666667	97.7733333333333	AUS
H4071	-0.198510724702582	-0.0656704759764224	30.6666666666667	84.6666666666667	149.953333333333	TEJ
H4074	0.11314299647198	-0.129273324026871	26.3333333333333	70.1666666666667	124.793333333333	IND
H4075	0.0340868178575502	-0.213939193516441	19.3333333333333	88	96.7466666666667	TEJ
H4076	0.0380334814454892	0.112804768671427	38.6666666666667	53.3333333333333	94.4933333333333	IND
H4077	-0.134437891749847	0.0845833487560477	25	70.6666666666667	84.4866666666667	TRJ
H4079	0.11635918312738	-0.0855152741558861	23.6666666666667	107	118.46	IND
H4080	0.191098844529482	-0.0490994996220988	28.3333333333333	80	82.47	IND
J4083	-0.114895821208282	-0.210605194289716	32.6666666666667	79.6666666666667	136.406666666667	TEJ
J4085	-0.0783939866080799	-0.099250769742533	16.3333333333333	102.666666666667	120.706666666667	TRJ
J4086	-0.051581415425501	-0.0990544164891014	30	67.8333333333333	98.34	TRJ
J4087	-0.013009433439097	0.0378558646151425	33.6666666666667	78.6666666666667	99.0733333333333	IND
J4088	0.142403776102968	-0.170256596258403	28.6666666666667	112.666666666667	180.44	IND
J4089	0.0667506515689539	-0.16322603416674	47.3333333333333	77	136.773333333333	TEJ
J4090	-0.0505133658485049	0.00461296311151316	27.6666666666667	82	117.236666666667	TEJ
K4091	-0.126919222870693	-0.232347809549197	15.3333333333333	101.666666666667	116.496666666667	TEJ
K4092	-0.133050257575322	0.17831152563706	20.6666666666667	69.6666666666667	64.9333333333333	TRJ
K4093	0.13717603369317	0.0634166710608491	31.6666666666667	70.3333333333333	98.0333333333333	IND
K4094	-0.115391117729295	-0.133592305748811	10.6666666666667	56	44.8	TEJ
K4096	-0.076876493603633	0.142374902062402	31.3333333333333	70	84.1766666666667	IND
K4097	-0.107984889736117	0.111062369551132	20	93.3333333333333	127.663333333333	AUS
K4098	-0.117913360458059	-0.140733426996339	37.3333333333333	93.6666666666667	174.27	TRJ
L4101	-0.140258681968783	-0.141426476849527	29.3333333333333	90.3333333333333	129.996666666667	TEJ
L4103	-0.148957369014903	-0.0757318285909814	29	92	126.276666666667	TEJ
L4105	0.0325657499716698	0.0873344998152837	44	66.3333333333333	129.393333333333	IND
L4106	-0.0125920937528978	0.223095776150204	24	81.6666666666667	69.2	AUS
L4107	-0.110295338526754	0.0328228650804657	23.6666666666667	80.6666666666667	105.643333333333	TRJ
L4108	-0.133657636846672	-0.1350930295305	24	97.6666666666667	132.606666666667	TEJ
L4109	0.034658152916459	0.0966750308506793	22	104	158.49	AUS
L4110	0.152994215889166	-0.143060191766577	39.3333333333333	96.6666666666667	196.296666666667	IND
M4111	0.002305642745039	0.210366962616511	38	58.3333333333333	69.6166666666667	AUS
M4112	-0.00774672828350232	-0.0226507641942378	34	62.6666666666667	92.4733333333333	IND
M4113	0.163633546123539	0.00589404125243125	43.3333333333333	69	80.3866666666667	IND
M4114	0.202350385561013	-0.0322865623678115	25	76.3333333333333	83.59	IND
M4115	0.0407666860076452	0.22270842590493	23	87	99.6233333333333	IND
M4116	-0.00528336646102343	0.0884400103904714	26.3333333333333	58	87.22	AUS
M4117	-0.0823168103907211	-0.0183063796457828	21.3333333333333	65.6666666666667	46.24	IND
M4118	-0.000779039643389529	0.0389976662400221	23.6666666666667	57.3333333333333	54.6833333333333	IND
M4119	-0.0483433407511115	0.0262642622581748	23.6666666666667	64	57.1933333333333	IND
N4121	0.223642895195798	0.0147698251330134	30.6666666666667	73.6666666666667	94.72	IND
N4122	0.02836576232999	0.0925744713839132	28.3333333333333	82	122.133333333333	AUS
N4123	-0.167726651346631	-0.231196859631427	13	112.666666666667	142.2	TEJ
N4124	0.0687630533278349	0.120644802319505	28.3333333333333	73	83.3233333333333	AUS
N4126	0.0716663499772335	0.104822585919983	41.6666666666667	42	90.0466666666667	IND
N4127	0.102413738555789	0.000879995537638326	18	68	57.6533333333333	IND
N4128	-0.0846489981249271	0.108900256458394	32.6666666666667	75	107.46	AUS
N4129	-0.139648741587826	0.229258887100066	15.5	63.5	36.06	TRJ
N4130	0.220700395779615	0.00648776929310696	34.3333333333333	71.6666666666667	98.3166666666667	IND
P4132	-0.0107797116360292	0.0624550620562083	24	94	150.926666666667	AUS
P4134	-0.123230145998039	0.16363337682801	42	71.3333333333333	113.79	AUS
P4135	0.165455441749947	-0.0582977262663728	32.6666666666667	80.6666666666667	92.2066666666667	IND
P4138	-0.203134420675027	-0.116370557458473	10.6666666666667	109.333333333333	111.793333333333	TRJ
P4139	-0.135845500052392	-0.183353181860164	21	100.333333333333	148.86	TEJ
P4140	-0.0812946933850704	-0.152448251411218	29	69.6666666666667	120.423333333333	IND
Q4141	-0.00945321649557088	0.134862254188226	40	68	131.37	IND
Q4142	-0.0362140558281725	0.083681847344586	14	87.3333333333333	61.6533333333333	IND
Q4143	0.0336862390933364	0.0422549643000911	24.3333333333333	69.3333333333333	77.9366666666667	IND
