Genus	richness	shannon_e	chao1	tiller	height	wetWeight	Subspecies
H4075	961	4.36	964.5	19.3333333333333	88	96.7466666666667	TEJ
H4076	1080	4.52	1082.4	38.6666666666667	53.3333333333333	94.4933333333333	IND
H4077	1037	4.42	1041	25	70.6666666666667	84.4866666666667	TRJ
H4080	1110	4.83	1114	28.3333333333333	80	82.47	IND
K4092	1120	4.57	1123.9	20.6666666666667	69.6666666666667	64.9333333333333	TRJ
K4093	1171	4.86	1174.9	31.6666666666667	70.3333333333333	98.0333333333333	IND
K4094	927	4.1	931.8	10.6666666666667	56	44.8	TEJ
K4096	1133	4.55	1135.7	31.3333333333333	70	84.1766666666667	IND
L4105	1249	5.03	1252.8	44	66.3333333333333	129.393333333333	IND
L4106	1278	5.16	1281.4	24	81.6666666666667	69.2	AUS
M4111	1226	4.91	1229.6	38	58.3333333333333	69.6166666666667	AUS
M4112	1205	5.1	1208.4	34	62.6666666666667	92.4733333333333	IND
M4113	1269	5.28	1272.5	43.3333333333333	69	80.3866666666667	IND
M4114	1273	5.27	1276.1	25	76.3333333333333	83.59	IND
M4115	1162	4.79	1166.5	23	87	99.6233333333333	IND
M4116	1108	4.34	1111.2	26.3333333333333	58	87.22	AUS
M4117	1023	4.18	1026.6	21.3333333333333	65.6666666666667	46.24	IND
M4118	1118	4.82	1120.8	23.6666666666667	57.3333333333333	54.6833333333333	IND
M4119	1081	4.38	1084.8	23.6666666666667	64	57.1933333333333	IND
N4121	1228	5.01	1230.8	30.6666666666667	73.6666666666667	94.72	IND
N4122	1070	4.5	1074.4	28.3333333333333	82	122.133333333333	AUS
N4124	1256	5.23	1259	28.3333333333333	73	83.3233333333333	AUS
N4126	1263	5.15	1265.1	41.6666666666667	42	90.0466666666667	IND
N4127	1234	4.9	1237.6	18	68	57.6533333333333	IND
N4128	1064	4.7	1067.2	32.6666666666667	75	107.46	AUS
N4129	1177	4.61	1180	15.5	63.5	36.06	TRJ
N4130	1243	5.24	1245.5	34.3333333333333	71.6666666666667	98.3166666666667	IND
P4132	1195	4.96	1199.1	24	94	150.926666666667	AUS
P4134	1030	4.12	1032.7	42	71.3333333333333	113.79	AUS
P4135	960	4.47	963.7	32.6666666666667	80.6666666666667	92.2066666666667	IND
Q4141	1123	4.87	1125.6	40	68	131.37	IND
S4168	1202	4.95	1205.1	32.6666666666667	87	132.086666666667	IND
S4169	1148	4.61	1151.4	27	75.3333333333333	79.8166666666667	TRJ
T4172	1064	4.73	1067.5	19.6666666666667	84	87.74	AUS
T4174	1028	4.24	1031.5	30.3333333333333	92.6666666666667	152.453333333333	AUS
W4193	1094	4.56	1097.1	23.3333333333333	72.6666666666667	78.36	TRJ
W4194	1235	4.63	1238	23.6666666666667	79.3333333333333	104.713333333333	IND
W4200	1037	4.7	1039.9	39.3333333333333	78.3333333333333	92.54	IND
X4203	1189	4.95	1191.7	36	74.3333333333333	101.526666666667	IND
X4205	890	4.12	894.1	14.6666666666667	85	57.94	IND
X4208	1140	4.85	1143.8	29.6666666666667	93.3333333333333	119.056666666667	AUS
X4209	997	3.52	1000.6	17.3333333333333	78	64.2333333333333	TRJ
Y4212	978	4.13	980.8	24	53.6666666666667	73.2966666666667	TRJ
Y4213	959	3.81	962.9	22.6666666666667	66.3333333333333	87.4966666666667	TRJ
Y4214	935	3.82	938.6	20	62	115.1	TRJ
Y4215	1090	4.74	1093.4	35.6666666666667	54	81.0633333333333	IND
D4040	950	4.3	953.3	29.3333333333333	79.6666666666667	97.69	IND
F4057	1177	4.87	1180.2	30.3333333333333	55.3333333333333	95.97	IND
J4087	1010	4.24	1014.3	33.6666666666667	78.6666666666667	99.0733333333333	IND
Q4142	1063	4.62	1065.6	14	87.3333333333333	61.6533333333333	IND
Q4143	1008	4.39	1012	24.3333333333333	69.3333333333333	77.9366666666667	IND
Q4144	1076	4.55	1079	31.3333333333333	61.3333333333333	76.5666666666667	IND
Q4146	1058	4.67	1061.1	27.3333333333333	62	74.63	IND
R4151	1046	4.37	1050	25.3333333333333	89.6666666666667	90.4766666666667	AUS
R4152	1063	4.43	1067.3	23	78.6666666666667	77.83	AUS
R4153	1098	4.47	1100.6	23	86	73.5	AUS
R4154	1023	4.44	1027.4	37.6666666666667	63	75.5633333333333	IND
R4156	1018	4.48	1022.2	33.3333333333333	77.3333333333333	122.063333333333	AUS
R4157	1009	4.06	1012.6	28.3333333333333	79.6666666666667	90.9833333333333	AUS
B4017	1350	5.55	1352.9	19.6666666666667	105.666666666667	108.093333333333	TEJ
E4041	1199	5.32	1204.3	35.3333333333333	104	124.256666666667	IND
E4042	1100	5.09	1103.7	33	88.6666666666667	91.77	TRJ
E4046	1176	5.26	1179.2	25.6666666666667	92.6666666666667	133.913333333333	AUS
E4047	1165	5.08	1169	34.3333333333333	95.3333333333333	111.303333333333	IND
E4048	1080	5.06	1084.7	20.6666666666667	51	29.4133333333333	IND
E4050	1191	5.17	1195.8	30	110	130.393333333333	IND
S4161	1196	5.24	1198.8	30.3333333333333	69.3333333333333	62.31	AUS
S4162	1120	4.74	1124.3	39.6666666666667	72.3333333333333	113.706666666667	AUS
S4165	955	4.5	958.8	28	78.3333333333333	104.8	IND
S4167	1108	4.79	1112.3	16	92.3333333333333	66.57	TEJ
F4054	1028	4.9	1031.1	30.6666666666667	88.6666666666667	109.906666666667	IND
F4055	1080	4.89	1083.6	26.6666666666667	99.3333333333333	149.126666666667	IND
F4060	1175	5.09	1177.7	33.6666666666667	67.6666666666667	111.826666666667	IND
J4086	1069	4.83	1072.3	30	67.8333333333333	98.34	TRJ
H4074	1228	5.34	1231.7	26.3333333333333	70.1666666666667	124.793333333333	IND
H4071	891	3.86	894.1	30.6666666666667	84.6666666666667	149.953333333333	TEJ
J4083	912	4.36	916.1	32.6666666666667	79.6666666666667	136.406666666667	TEJ
J4085	1085	4.75	1088.7	16.3333333333333	102.666666666667	120.706666666667	TRJ
J4088	1177	5.33	1180.3	28.6666666666667	112.666666666667	180.44	IND
J4089	1060	4.86	1062.8	47.3333333333333	77	136.773333333333	TEJ
J4090	1280	5.36	1282.8	27.6666666666667	82	117.236666666667	TEJ
K4091	966	4.45	970.6	15.3333333333333	101.666666666667	116.496666666667	TEJ
K4098	999	4.45	1003	37.3333333333333	93.6666666666667	174.27	TRJ
N4123	775	4.08	779.5	13	112.666666666667	142.2	TEJ
P4138	764	4.03	768.6	10.6666666666667	109.333333333333	111.793333333333	TRJ
P4139	866	4.16	870.2	21	100.333333333333	148.86	TEJ
P4140	968	4.79	971.8	29	69.6666666666667	120.423333333333	IND
Q4145	1100	4.96	1103.5	36.3333333333333	76	155.333333333333	IND
Q4147	912	4.35	916.4	27	73	129.23	TEJ
Q4148	1199	5	1202.2	23.6666666666667	75.6666666666667	102.31	TEJ
Q4149	1119	4.77	1123.7	26	90.3333333333333	129.503333333333	TEJ
Q4150	1209	5.43	1212.6	44	101.666666666667	173.923333333333	AUS
S4170	947	4.24	950.2	31	95.6666666666667	158.953333333333	TRJ
T4171	1126	5.07	1130.4	41.3333333333333	97.3333333333333	182.446666666667	AUS
T4173	989	5.18	992.8	29	104.333333333333	163.22	AUS
T4175	1055	4.51	1059.1	29	103.333333333333	150.533333333333	AUS
G4061	1137	5.16	1140.2	27	60	86.93	IND
T4177	963	4.27	966.8	22.6666666666667	98	181.46	TEJ
T4178	1122	5.07	1125.2	33	107	184.576666666667	AUS
T4179	963	4.6	967.2	25.6666666666667	88	128.64	TEJ
W4195	1328	5.46	1331.2	27.3333333333333	93.3333333333333	149.683333333333	IND
W4196	1173	5.05	1177.7	22.6666666666667	88.6666666666667	138.326666666667	IND
W4197	1096	5.09	1099.8	17	97.6666666666667	123.333333333333	IND
W4198	997	4.13	999.8	18.6666666666667	77	77.92	TRJ
W4199	1172	4.89	1175.9	27.6666666666667	84.6666666666667	133.076666666667	TRJ
X4204	1059	4.86	1062.7	47.6666666666667	85	209.886666666667	IND
Y4211	914	4.43	917.7	14	105.666666666667	142.576666666667	TEJ
A4001	1054	4.81	1057.3	35.6666666666667	106	234.146666666667	TRJ
A4002	1026	4.65	1030	19.3333333333333	76	114.456666666667	IND
A4008	1214	5.12	1217.7	34.6666666666667	83.6666666666667	NA	TRJ
A4010	1072	5.16	1076.1	40	92	156.053333333333	IND
B4020	982	4.47	986	25	92.3333333333333	136.633333333333	TEJ
C4021	954	4.39	958	18.3333333333333	108	147.32	TEJ
C4022	1038	4.77	1041.2	20	83	109.1	TEJ
C4027	899	4.32	903.1	23.6666666666667	97.3333333333333	164.293333333333	TEJ
E4044	1012	4.82	1014.7	24.3333333333333	102.333333333333	180.47	IND
F4058	914	4.48	917.7	17.6666666666667	74.6666666666667	84.9166666666667	TRJ
G4065	1116	4.83	1119.6	20.3333333333333	77	81.1166666666667	IND
G4068	1293	5.31	1296.1	26	108.666666666667	181.216666666667	AUS
G4069	1217	5.17	1220.5	29.6666666666667	89.3333333333333	179.82	AUS
H4079	1205	5.18	1208	23.6666666666667	107	118.46	IND
K4097	1076	4.42	1080	20	93.3333333333333	127.663333333333	AUS
L4101	999	4.45	1002.3	29.3333333333333	90.3333333333333	129.996666666667	TEJ
L4103	1045	4.26	1049.6	29	92	126.276666666667	TEJ
L4107	1236	4.98	1239.3	23.6666666666667	80.6666666666667	105.643333333333	TRJ
L4108	857	4.33	860.7	24	97.6666666666667	132.606666666667	TEJ
L4109	1355	5.49	1358	22	104	158.49	AUS
L4110	1169	5.32	1173.5	39.3333333333333	96.6666666666667	196.296666666667	IND
R4155	1136	4.62	1138.8	27	102	176.236666666667	AUS
R4158	1166	4.68	1169.7	28.3333333333333	100	180.19	AUS
S4166	1133	5.17	1136.5	39.6666666666667	113.666666666667	234.733333333333	AUS
X4206	1150	4.88	1152.7	20	105.666666666667	158.186666666667	AUS
X4210	1225	5.33	1228.2	42.6666666666667	79.3333333333333	178.226666666667	IND
Y4216	1200	4.7	1203.3	34.3333333333333	73	136.01	TEJ
