Genus	richness	shannon_e	chao1	tiller	height	wetWeight	Subspecies
N4130	1418	5.12	1421.2	23.3333333333333	62.6666666666667	50.42	IND
P4132	1274	4.58	1277.4	12.3333333333333	83.3333333333333	50.6566666666667	AUS
P4134	1146	4.1	1150.1	23.6666666666667	60	48.7866666666667	AUS
P4135	1282	4.73	1285.3	21.3333333333333	65	43.5366666666667	IND
Q4141	1284	4.92	1286.4	11	47	15.05	IND
S4168	1368	5	1370.6	13	72	43.1233333333333	IND
S4169	1079	4.05	1082.4	11.3333333333333	62.6666666666667	18.4033333333333	TRJ
T4172	1308	4.69	1311.4	17	72	57.1533333333333	AUS
T4174	1315	4.89	1317.2	14.3333333333333	80.6666666666667	38.6766666666667	AUS
W4193	1362	4.64	1364.5	10.6666666666667	69.6666666666667	24.8766666666667	TRJ
W4194	1249	4.46	1252.4	13	56.6666666666667	31.93	IND
W4200	1286	4.79	1289.1	26	54.3333333333333	49.0133333333333	IND
X4203	1257	4.76	1259.6	30.6666666666667	64.6666666666667	47.1433333333333	IND
X4205	1355	4.6	1357.4	14.6666666666667	69	47.51	IND
X4208	919	3.56	923.5	8	82.6666666666667	28.5766666666667	AUS
X4209	882	3.07	886.3	4.66666666666667	68.3333333333333	14.66	TRJ
Y4212	960	3.28	963.8	6.66666666666667	46.6666666666667	19.8366666666667	TRJ
Y4213	989	3.37	992.5	11.3333333333333	65	34.5566666666667	TRJ
Y4214	1169	4.21	1172.3	7.5	53	15.465	TRJ
Y4215	1154	4.29	1156.8	18	43.6666666666667	26.7366666666667	IND
D4040	1269	4.45	1272.5	16.6666666666667	62.3333333333333	28.2	IND
F4057	1319	4.72	1321.7	13.6666666666667	46.3333333333333	28.9033333333333	IND
J4087	1223	4.43	1225.5	24	60.6666666666667	44.7233333333333	IND
Q4142	983	3.89	986.8	7	74.6666666666667	18.4266666666667	IND
Q4143	1165	4.4	1168.4	11.6666666666667	62.6666666666667	31.7433333333333	IND
Q4144	1213	4.5	1216.2	7	55.6666666666667	14.9733333333333	IND
Q4146	1210	4.54	1213.5	11.6666666666667	57	24.9833333333333	IND
R4151	1222	4.58	1224.7	13.6666666666667	82.6666666666667	32.08	AUS
R4152	1130	4.28	1133.3	13	75	36.2433333333333	AUS
R4153	1245	4.73	1248.4	20.6666666666667	85.3333333333333	63.2633333333333	AUS
R4154	1087	4.39	1090.7	31	54.6666666666667	42.81	IND
R4156	1081	4.44	1083.9	9.33333333333333	68	30.2133333333333	AUS
R4157	972	4	974.9	9.33333333333333	63.6666666666667	25.9333333333333	AUS
S4161	1270	4.67	1272.6	16	63.3333333333333	28.3133333333333	AUS
S4162	1061	4.19	1065.3	17.3333333333333	65.3333333333333	33.17	AUS
S4165	1277	4.94	1279.8	15.6666666666667	64	38.17	IND
S4167	1170	4.34	1173.9	9.33333333333333	80.3333333333333	28.6133333333333	TEJ
