Axis	PC1	PC2	group
J4089	-0.0937009595250037	0.136166069894339	[13,18)
J4090	-0.199651738015033	-0.0657016561627444	[8,13)
K4091	-0.238375871246484	0.344549689424596	<8
K4092	-0.00245929853943383	-0.24006881852919	[13,18)
K4093	0.258668830091221	0.0271357248409484	[18,23)
K4094	-0.00793747635406524	0.202886860787324	<8
K4096	0.0662807012287891	-0.214007038805044	[23,28)
K4097	-0.0583319190247596	-0.191573343475016	[13,18)
K4098	-0.259398309907187	0.114051291888326	[8,13)
L4101	-0.213890576429469	0.0990461553174191	[8,13)
L4103	-0.24076261570948	-0.0676649422447551	[8,13)
L4105	0.204319286721673	0.0205615277855175	[8,13)
L4106	0.00738078543140165	-0.0810783857570053	[18,23)
L4107	-0.210011591182667	-0.14107125483697	[8,13)
L4108	-0.16938336610837	0.100647596642598	[8,13)
L4109	0.126090669774449	-0.169768665714962	[8,13)
L4110	0.1465704420299	0.20549166373724	[18,23)
M4111	0.0884442465727193	0.103257128811274	[18,23)
M4112	0.00471215100090902	-0.010686749783146	[8,13)
M4113	0.199262920278767	-0.0395687461017865	[8,13)
M4114	0.103849841589047	0.0419926400210971	[18,23)
M4115	0.0448495181797322	-0.125571383836587	[8,13)
M4116	-0.00119390600893373	-0.180450624664191	[18,23)
M4117	-0.114447289887024	-0.198759468772371	[13,18)
M4118	0.063525872472997	-0.0196019754192298	[13,18)
M4119	0.040035066746745	-0.0792070671630433	[23,28)
N4121	0.116209455340671	0.0961066747560957	>=28
N4122	-0.0249310912562054	-0.105093375043455	[13,18)
N4123	-0.188433811664518	0.149866369758054	[8,13)
N4124	0.124015105267478	-0.161927089104666	[23,28)
N4126	0.240313824401477	-0.148649425627436	[23,28)
N4127	0.183165751841906	-0.106541492059741	[13,18)
N4128	0.106418949929711	-0.0672393808836328	[18,23)
N4129	-0.0122241329659812	-0.14354074032939	[8,13)
N4130	0.243617678454813	-0.0401586145866948	[23,28)
P4132	0.0824088535529958	-0.0805197172633359	[8,13)
P4134	-0.0190263887328399	-0.067932210035969	[23,28)
P4135	0.193678284812505	0.0962079956243328	[18,23)
P4138	-0.140778873673148	0.31795872333886	<8
P4139	-0.148209178365441	0.0674157381835945	[8,13)
P4140	0.0634726742375719	0.134410741107851	[8,13)
Q4141	0.0485057806458719	0.0511845244977716	[8,13)
Q4142	-0.190992397601948	0.0799463976722073	<8
Q4143	0.111372666180273	-0.0279326825502884	[8,13)
Q4144	0.0229167883692991	0.00894884255476245	<8
Q4145	-0.0372831583040483	0.200021359233565	[18,23)
Q4146	0.151101598933398	-0.0777834094742181	[8,13)
Q4147	-0.131359417249146	0.167007916674351	[13,18)
Q4148	-0.123021745053956	-0.0318202767192019	[8,13)
Q4149	-0.146063481345358	0.107410107847958	[8,13)
Q4150	0.144753394745365	0.281350535028004	>=28
R4151	0.122506938168672	-0.0750570436550004	[13,18)
R4152	-0.0484832463386351	-0.208525971130748	[13,18)
R4153	0.199701971134403	0.0133789643697956	[18,23)
R4154	0.129539018750728	0.0793271712915502	>=28
R4155	-0.0183350012132038	-0.122642633943309	[8,13)
R4156	0.0799748116167487	0.0374707981362459	[8,13)
R4157	-0.0562142903238267	-0.106681591208409	[8,13)
R4158	-0.124503444396072	-0.0342495811493471	[8,13)
S4161	0.0281374347163582	-0.121957883861014	[13,18)
S4162	-0.0504316514505177	-0.18290993268756	[13,18)
S4165	0.221431181677072	0.00854543428914839	[13,18)
S4166	0.192892685066311	0.207094474723015	[23,28)
S4167	-0.0897954401570589	-0.157448797263451	[8,13)
S4168	0.156105097393215	-0.130054631346862	[13,18)
S4169	-0.0854124608850298	-0.195826290235596	[8,13)
S4170	-0.11967250562051	0.0904685150211527	[13,18)
T4171	-0.0253378369340175	0.0593312263362137	[13,18)
T4172	0.054291227923341	-0.0860002784816453	[13,18)
T4173	-0.0249905320217897	0.0520291462799656	[13,18)
T4174	0.236179263724011	-0.101152307833375	[13,18)
T4175	-0.0411309022458359	0.0923665393658495	[18,23)
T4177	-0.240570865043484	0.0560096402099108	[8,13)
T4178	0.130833234232567	0.377568135444077	>=28
T4179	-0.084954088853569	0.212378750612564	[8,13)
W4193	-0.07890807086584	-0.0205734281520644	[8,13)
W4194	0.0467581830859401	-0.129132362957439	[13,18)
W4195	0.0238518112606924	-0.0412092873553566	[13,18)
W4196	-0.06439547975926	0.0141758700050325	[8,13)
W4197	-0.145416687565179	0.0594527387737686	[8,13)
W4198	-0.247095649829964	0.0932158904857307	[8,13)
W4199	-0.17558055649387	-0.0623512191230141	[8,13)
W4200	0.224636727630108	-0.0848166471482478	[23,28)
X4203	0.264849575616916	0.10288083463546	>=28
X4204	-0.116740468667285	0.129378272688947	[18,23)
X4205	-0.0238174976511081	-0.321183413357979	[13,18)
X4206	0.0365959837009095	0.228283263081558	<8
X4208	-0.0882036593823884	-0.0847688083565499	[8,13)
X4209	-0.169992782165084	-0.00141477871062699	<8
X4210	-0.0616064576721916	0.190477681250034	[18,23)
Y4211	-0.153884176730486	0.383249749898111	<8
Y4212	-0.218814661870545	-0.042302841825006	<8
Y4213	-0.202909020804761	-0.146887977983388	[8,13)
Y4214	-0.148670116731707	-0.0357333745127872	[8,13)
Y4215	0.0589667461470082	0.127497825623376	[18,23)
Y4216	-0.0837402165902745	0.134584668413236	[8,13)
