rownames	tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group
H4080	[23,28)	61	55.1866666666667	China	23.5282	114.028	China	IND	24.6666666666667	T5	[23,28)
J4083	[13,18)	67	57.2133333333333	Japan	36.7219	138.22	NorthPacific	TEJ	14.3333333333333	T3	[13,18)
J4085	<8	74	37.7333333333333	Haiti	19.8263	-72.1007	CentralAmerica	TRJ	5.66666666666667	T1	<8
J4086	[8,13)	60.3333333333333	22.33	UnitedStates	34.0368	-92.1069	NorthAmerica	TRJ	9.66666666666667	T2	[8,13)
J4087	[23,28)	60.6666666666667	44.7233333333333	Taiwan	22.5065	121.949	China	IND	24	T5	[23,28)
J4088	[18,23)	74	67.8733333333333	China	29.8509	107.389	China	IND	18.6666666666667	T4	[18,23)
J4089	[13,18)	61.3333333333333	47.55	Japan	35.2265	138.586	NorthPacific	TEJ	15.6666666666667	T3	[13,18)
J4090	[8,13)	61	30.9033333333333	Turkey	37.533	43.5	Mideast	TEJ	10.3333333333333	T2	[8,13)
K4091	<8	87.6666666666667	50.32	Japan	38.1872	138.717	NorthPacific	TEJ	6	T1	<8
K4092	[13,18)	61.6666666666667	32.59	Myanmar	17.965	96.8093	SoutheastAsia	TRJ	14	T3	[13,18)
K4093	[18,23)	53.3333333333333	39.97	Nepal	28.7445	81.7418	Subcontinent	IND	19.3333333333333	T4	[18,23)
K4094	<8	60.5	15.395	Italy	43.0739	10.9219	WesternEurope	TEJ	5	T1	<8
K4096	[23,28)	51	36.2933333333333	Mexico	17.7656	-97.4986	NorthAmerica	IND	26.6666666666667	T5	[23,28)
K4097	[13,18)	80	76.4533333333333	India	21.5446	84.4994	Subcontinent	AUS	13	T3	[13,18)
K4098	[8,13)	78.3333333333333	54.1733333333333	Taiwan	22.6146	122.794	China	TRJ	12	T2	[8,13)
L4101	[8,13)	87	58.26	Hungary	46.3824	19.052	EasternEurope	TEJ	10	T2	[8,13)
L4103	[8,13)	87	40.7633333333333	Portugal	38.42	-9.1	WesternEurope	TEJ	10.3333333333333	T2	[8,13)
L4105	[8,13)	40.6666666666667	12.5166666666667	Philippines	15.4201	120.845	SouthPacific	IND	8.33333333333333	T2	[8,13)
L4106	[18,23)	70.3333333333333	36.9366666666667	India	25.9432	92.2	Subcontinent	AUS	21.3333333333333	T4	[18,23)
L4107	[8,13)	67	27.2466666666667	Indonesia	-8.15	122.088	SouthPacific	TRJ	9.33333333333333	T2	[8,13)
L4108	[8,13)	94	60.37	Afghanistan	36.1566	67.8055	Subcontinent	TEJ	10.6666666666667	T2	[8,13)
L4109	[8,13)	89.6666666666667	52.89	India	25.75	93.25	Subcontinent	AUS	9.66666666666667	T2	[8,13)
L4110	[18,23)	76.6666666666667	61.6066666666667	Taiwan	23.3621	119.983	China	IND	18.6666666666667	T4	[18,23)
M4111	[18,23)	46.3333333333333	28.2766666666667	India	21.1805	78.3261	Subcontinent	AUS	22.3333333333333	T4	[18,23)
M4112	[8,13)	53.3333333333333	17.08	HongKong	24.2979	113.759	China	IND	11.6666666666667	T2	[8,13)
M4113	[8,13)	55	26.56	Cambodia	12.2551	104.507	SoutheastAsia	IND	12	T2	[8,13)
M4114	[18,23)	62.3333333333333	42.44	Italy	41.7092	12.3055	WesternEurope	IND	20.3333333333333	T4	[18,23)
M4115	[8,13)	70	34.0833333333333	India	20.694	83.3553	Subcontinent	IND	11.6666666666667	T2	[8,13)
M4116	[18,23)	49.6666666666667	34.4533333333333	Mali	12.8481	-7.95841	Africa	AUS	20.3333333333333	T4	[18,23)
M4117	[13,18)	51.6666666666667	18.5166666666667	Thailand	15.7332	100.488	SoutheastAsia	IND	14.3333333333333	T3	[13,18)
M4118	[13,18)	43.3333333333333	15.3833333333333	Philippines	14.6431	120.458	SouthPacific	IND	15	T3	[13,18)
M4119	[23,28)	52.3333333333333	35.5266666666667	Taiwan	25.7093	121.297	China	IND	22.6666666666667	T5	[23,28)
N4121	>=28	66.3333333333333	64.5	India	19.4558	76.7588	Subcontinent	IND	29.3333333333333	T6	>=28
N4122	[13,18)	65.6666666666667	41.1633333333333	Nepal	27.095	85.1042	Subcontinent	AUS	15	T3	[13,18)
N4123	[8,13)	94.3333333333333	59.39	Spain	39.315	-3.41141	WesternEurope	TEJ	8.33333333333333	T2	[8,13)
N4124	[23,28)	61.3333333333333	42.1966666666667	Indonesia	-7.04691	108.765	SouthPacific	AUS	25.3333333333333	T5	[23,28)
N4126	[23,28)	36.3333333333333	37.9066666666667	Indonesia	-6.29513	106.042	SouthPacific	IND	25.3333333333333	T5	[23,28)
N4127	[13,18)	53.3333333333333	26.4	DominicanRepublic	17.7339	-69.7105	CentralAmerica	IND	14.3333333333333	T3	[13,18)
N4128	[18,23)	63.6666666666667	44.98	Fiji	-19.496	178.326	SouthPacific	AUS	22.3333333333333	T4	[18,23)
N4129	[8,13)	47	14.2	Zaire	-0.413294	26.6185	Africa	TRJ	9	T2	[8,13)
N4130	[23,28)	62.6666666666667	50.42	India	19.39	83.4699	Subcontinent	IND	23.3333333333333	T5	[23,28)
P4132	[8,13)	83.3333333333333	50.6566666666667	Egypt	27.736	29.0454	Mideast	AUS	12.3333333333333	T2	[8,13)
P4134	[23,28)	60	48.7866666666667	Argentina	-34.4964	-58.2098	SouthAmerica	AUS	23.6666666666667	T5	[23,28)
P4135	[18,23)	65	43.5366666666667	Uzbekistan	40.2637	70.689	Balkans	IND	21.3333333333333	T4	[18,23)
P4138	<8	93.6666666666667	54.2766666666667	Myanmar	23.2717	97.8197	SoutheastAsia	TRJ	7	T1	<8
P4139	[8,13)	85.6666666666667	56.3133333333333	Azerbaijan	39.793	46.9282	Balkans	TEJ	8.33333333333333	T2	[8,13)
P4140	[8,13)	49.3333333333333	39.5133333333333	Thailand	13.2888	101.079	SoutheastAsia	IND	11.3333333333333	T2	[8,13)
