Samples	PC1	PC2	PC3	PC4
F4056	0.154288968743877	0.0368785458313066	-0.0155753151127197	0.0203712384133379
F4057	0.109180607650759	0.0562082458866834	0.0944985461589969	0.0404071254485013
F4058	-0.0532202447355047	-0.0207862206060119	-0.106653385786717	0.0565528581847736
F4060	0.122082594923162	-0.0523778727053586	0.0157707406759624	0.0227333511020056
G4061	0.148593554417734	-0.0726985271377743	-0.145762481990739	0.00824068972659443
G4062	0.147687928038163	-0.027412055210709	-0.0173659207753374	0.011942941721104
G4063	0.073402115022071	0.0675661245567892	-0.0421788769860203	0.0893196871819659
G4065	-0.147138646852559	-0.0810807417234486	0.00358036252945846	0.039404368730436
G4066	0.0788627744621338	0.103216673291526	-0.0465862553302385	-0.0951831579153165
G4068	-0.0607854576844122	-0.0644034944141516	-0.000976514843743191	-0.0922547766829913
G4069	-0.105322127556058	-0.15036354164092	0.0990492558827874	-0.0240526479964872
G4070	0.0614102095048011	0.148723677586831	0.0207496402803201	0.0331865085230405
H4071	-0.16481441542654	0.0060296116461412	0.0214218744180495	0.0341503617280329
H4074	0.164153858817324	-0.0824380611131944	0.0378496119641824	-0.0358756491375551
H4075	-0.102368324775222	0.223681891401531	-0.10043417644619	0.0910047274847785
H4076	0.092827410431266	-0.0414939616062588	0.0807841767003759	-0.0265811217886959
H4077	-0.0292300055443451	0.0677716319381118	0.00577531220422609	-0.0980978182354414
H4079	0.00801518076090444	-0.0243503288594371	0.0837907717779882	0.01421707725582
H4080	0.295556691865331	0.0227787178690762	0.0430967970764101	-0.0402977006566146
J4083	-0.171007858562894	-0.0794066297334353	-0.0367232269662662	0.0601719757968905
J4085	-0.173913073286848	0.0117026876098931	-0.235684629727094	-0.0528893127708547
J4086	-0.0507536844334261	0.0554332498764659	0.01497402889584	0.0300473608108153
J4087	-0.0303182234322333	-0.0427604860548573	0.0974667799710158	0.00791288826589775
J4088	-0.0223226247452671	-0.118826998209503	-0.185499998772204	-0.0179499173563526
J4089	-0.122232578878487	-0.115462959595609	0.00422350356651024	0.0965197255307031
J4090	-0.147315005492063	0.0659397449004048	-0.37081595607297	-0.122267878633621
K4091	-0.223787906808855	-0.0371440682774947	-0.0402506415734584	0.164011052329518
K4092	0.0252443387429171	0.0986046637111599	-0.0366401673119496	-0.107098278685695
K4093	0.276225815323573	0.0083981665028761	0.0342333789431569	-0.024147676533105
K4094	0.0203075221448408	-0.0218484005166778	0.0634309181799871	0.0156411412672399
K4096	0.0561458760574375	0.0656509422459098	-0.00931169007006394	-0.0794557764925773
