rownames	tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group
K4096	[30,37)	70	84.1766666666667	Mexico	17.7656	-97.4986	NorthAmerica	IND	31.3333333333333	T4	[30,37)
K4097	[16,23)	93.3333333333333	127.663333333333	India	21.5446	84.4994	Subcontinent	AUS	20	T2	[16,23)
K4098	[37,44)	93.6666666666667	174.27	Taiwan	22.6146	122.794	China	TRJ	37.3333333333333	T5	[37,44)
L4101	[23,30)	90.3333333333333	129.996666666667	Hungary	46.3824	19.052	EasternEurope	TEJ	29.3333333333333	T3	[23,30)
L4103	[23,30)	92	126.276666666667	Portugal	38.42	-9.1	WesternEurope	TEJ	29	T3	[23,30)
L4105	>=44	66.3333333333333	129.393333333333	Philippines	15.4201	120.845	SouthPacific	IND	44	T6	>=44
L4106	[23,30)	81.6666666666667	69.2	India	25.9432	92.2	Subcontinent	AUS	24	T3	[23,30)
L4107	[23,30)	80.6666666666667	105.643333333333	Indonesia	-8.15	122.088	SouthPacific	TRJ	23.6666666666667	T3	[23,30)
L4108	[23,30)	97.6666666666667	132.606666666667	Afghanistan	36.1566	67.8055	Subcontinent	TEJ	24	T3	[23,30)
L4109	[16,23)	104	158.49	India	25.75	93.25	Subcontinent	AUS	22	T2	[16,23)
L4110	[37,44)	96.6666666666667	196.296666666667	Taiwan	23.3621	119.983	China	IND	39.3333333333333	T5	[37,44)
M4111	[37,44)	58.3333333333333	69.6166666666667	India	21.1805	78.3261	Subcontinent	AUS	38	T5	[37,44)
M4112	[30,37)	62.6666666666667	92.4733333333333	HongKong	24.2979	113.759	China	IND	34	T4	[30,37)
M4113	[37,44)	69	80.3866666666667	Cambodia	12.2551	104.507	SoutheastAsia	IND	43.3333333333333	T5	[37,44)
M4114	[23,30)	76.3333333333333	83.59	Italy	41.7092	12.3055	WesternEurope	IND	25	T3	[23,30)
M4115	[23,30)	87	99.6233333333333	India	20.694	83.3553	Subcontinent	IND	23	T3	[23,30)
M4116	[23,30)	58	87.22	Mali	12.8481	-7.95841	Africa	AUS	26.3333333333333	T3	[23,30)
M4117	[16,23)	65.6666666666667	46.24	Thailand	15.7332	100.488	SoutheastAsia	IND	21.3333333333333	T2	[16,23)
M4118	[23,30)	57.3333333333333	54.6833333333333	Philippines	14.6431	120.458	SouthPacific	IND	23.6666666666667	T3	[23,30)
M4119	[23,30)	64	57.1933333333333	Taiwan	25.7093	121.297	China	IND	23.6666666666667	T3	[23,30)
N4121	[30,37)	73.6666666666667	94.72	India	19.4558	76.7588	Subcontinent	IND	30.6666666666667	T4	[30,37)
N4122	[23,30)	82	122.133333333333	Nepal	27.095	85.1042	Subcontinent	AUS	28.3333333333333	T3	[23,30)
N4123	<16	112.666666666667	142.2	Spain	39.315	-3.41141	WesternEurope	TEJ	13	T1	<16
N4124	[23,30)	73	83.3233333333333	Indonesia	-7.04691	108.765	SouthPacific	AUS	28.3333333333333	T3	[23,30)
N4126	[37,44)	42	90.0466666666667	Indonesia	-6.29513	106.042	SouthPacific	IND	41.6666666666667	T5	[37,44)
N4127	[16,23)	68	57.6533333333333	DominicanRepublic	17.7339	-69.7105	CentralAmerica	IND	18	T2	[16,23)
N4128	[30,37)	75	107.46	Fiji	-19.496	178.326	SouthPacific	AUS	32.6666666666667	T4	[30,37)
N4129	[16,23)	63.5	36.06	Zaire	-0.413294	26.6185	Africa	TRJ	15.5	T2	[16,23)
N4130	[30,37)	71.6666666666667	98.3166666666667	India	19.39	83.4699	Subcontinent	IND	34.3333333333333	T4	[30,37)
P4132	[23,30)	94	150.926666666667	Egypt	27.736	29.0454	Mideast	AUS	24	T3	[23,30)
P4134	[37,44)	71.3333333333333	113.79	Argentina	-34.4964	-58.2098	SouthAmerica	AUS	42	T5	[37,44)
P4135	[30,37)	80.6666666666667	92.2066666666667	Uzbekistan	40.2637	70.689	Balkans	IND	32.6666666666667	T4	[30,37)
P4138	<16	109.333333333333	111.793333333333	Myanmar	23.2717	97.8197	SoutheastAsia	TRJ	10.6666666666667	T1	<16
P4139	[16,23)	100.333333333333	148.86	Azerbaijan	39.793	46.9282	Balkans	TEJ	21	T2	[16,23)
P4140	[23,30)	69.6666666666667	120.423333333333	Thailand	13.2888	101.079	SoutheastAsia	IND	29	T3	[23,30)
Q4141	[37,44)	68	131.37	Philippines	17.284	121.447	SouthPacific	IND	40	T5	[37,44)
Q4142	<16	87.3333333333333	61.6533333333333	Vietnam	20.6384	106.046	SoutheastAsia	IND	14	T1	<16
Q4143	[23,30)	69.3333333333333	77.9366666666667	China	38.7705	119.224	China	IND	24.3333333333333	T3	[23,30)
Q4144	[30,37)	61.3333333333333	76.5666666666667	China	38.4703	115.311	China	IND	31.3333333333333	T4	[30,37)
Q4145	[30,37)	76	155.333333333333	China	39.208	114.85	China	IND	36.3333333333333	T4	[30,37)
Q4146	[23,30)	62	74.63	China	39.3757	115.99	China	IND	27.3333333333333	T3	[23,30)
Q4147	[23,30)	73	129.23	China	39.5004	115.471	China	TEJ	27	T3	[23,30)
Q4148	[23,30)	75.6666666666667	102.31	Turkey	39.983	42.567	Mideast	TEJ	23.6666666666667	T3	[23,30)
Q4149	[23,30)	90.3333333333333	129.503333333333	Japan	35.6778	138.023	NorthPacific	TEJ	26	T3	[23,30)
Q4150	>=44	101.666666666667	173.923333333333	Japan	35.6002	138.827	NorthPacific	AUS	44	T6	>=44
R4151	[23,30)	89.6666666666667	90.4766666666667	SriLanka	6.24301	81.427	Subcontinent	AUS	25.3333333333333	T3	[23,30)
R4152	[23,30)	78.6666666666667	77.83	SriLanka	5.79231	81.2498	Subcontinent	AUS	23	T3	[23,30)
R4153	[23,30)	86	73.5	SriLanka	6.10952	81.3417	Subcontinent	AUS	23	T3	[23,30)
R4154	[37,44)	63	75.5633333333333	Cambodia	15.8754	104.35	SoutheastAsia	IND	37.6666666666667	T5	[37,44)
R4155	[23,30)	102	176.236666666667	Vietnam	16.8012	105.296	SoutheastAsia	AUS	27	T3	[23,30)
R4156	[30,37)	77.3333333333333	122.063333333333	Bangladesh	24.7346	88.7922	Subcontinent	AUS	33.3333333333333	T4	[30,37)
R4157	[23,30)	79.6666666666667	90.9833333333333	Bangladesh	22.3788	91.6177	Subcontinent	AUS	28.3333333333333	T3	[23,30)
R4158	[23,30)	100	180.19	Bangladesh	24.924	89.5763	Subcontinent	AUS	28.3333333333333	T3	[23,30)
S4161	[30,37)	69.3333333333333	62.31	Uzbekistan	41.7316	70.2067	Balkans	AUS	30.3333333333333	T4	[30,37)
S4162	[37,44)	72.3333333333333	113.706666666667	SierraLeone	9.09027	-11.8061	Africa	AUS	39.6666666666667	T5	[37,44)
S4165	[23,30)	78.3333333333333	104.8	Nepal	28.05	81.617	Subcontinent	IND	28	T3	[23,30)
S4166	[37,44)	113.666666666667	234.733333333333	Afghanistan	31.617	65.717	Subcontinent	AUS	39.6666666666667	T5	[37,44)
S4167	[16,23)	92.3333333333333	66.57	Portugal	38.7613	-8.03134	WesternEurope	TEJ	16	T2	[16,23)
S4168	[30,37)	87	132.086666666667	SriLanka	7.09891	79.3386	Subcontinent	IND	32.6666666666667	T4	[30,37)
S4169	[23,30)	75.3333333333333	79.8166666666667	Indonesia	-8.49154	122.598	SouthPacific	TRJ	27	T3	[23,30)
S4170	[30,37)	95.6666666666667	158.953333333333	Malaysia	2.73445	110.203	SouthPacific	TRJ	31	T4	[30,37)
T4171	[37,44)	97.3333333333333	182.446666666667	India	32.0393	73.8355	Subcontinent	AUS	41.3333333333333	T5	[37,44)
T4172	[16,23)	84	87.74	Chad	16.0526	21.0676	Africa	AUS	19.6666666666667	T2	[16,23)
T4173	[23,30)	104.333333333333	163.22	Bangladesh	23.4118	88.3161	Subcontinent	AUS	29	T3	[23,30)
T4174	[30,37)	92.6666666666667	152.453333333333	Mali	17.1716	-2.37513	Africa	AUS	30.3333333333333	T4	[30,37)
T4175	[23,30)	103.333333333333	150.533333333333	Pakistan	34.017	71.55	Subcontinent	AUS	29	T3	[23,30)
T4177	[23,30)	98	181.46	Bulgaria	42.1597	24.1737	EasternEurope	TEJ	22.6666666666667	T3	[23,30)
T4178	[30,37)	107	184.576666666667	Kazakhstan	46.2713	69.2312	Balkans	AUS	33	T4	[30,37)
T4179	[23,30)	88	128.64	RussianFederation	43.6307	132.363	EasternEurope	TEJ	25.6666666666667	T3	[23,30)
W4193	[23,30)	72.6666666666667	78.36	Vietnam	15.4424	104.548	SoutheastAsia	TRJ	23.3333333333333	T3	[23,30)
W4194	[23,30)	79.3333333333333	104.713333333333	Jamaica	17.0456	-76.9894	CentralAmerica	IND	23.6666666666667	T3	[23,30)
W4195	[23,30)	93.3333333333333	149.683333333333	Myanmar	18.2742	96.2619	SoutheastAsia	IND	27.3333333333333	T3	[23,30)
W4196	[23,30)	88.6666666666667	138.326666666667	Thailand	11.988	101.372	SoutheastAsia	IND	22.6666666666667	T3	[23,30)
