tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
B4018	33	0.198648678342206	0.04832287388226	0.0211838197743104	0.0237674662645816	-0.043102	-0.0425119	-0.0294269	0.0272805
B4019	20	0.0315789233800688	0.013498094304537	-0.00434538166660431	-0.0079125014243154	-0.0719321	-0.0737233	0.00217329	0.0100118
B4020	25	-0.14246841659988	0.140247806336259	-0.0694941903717495	0.0181463338113513	0.110964	-0.00902453	0.14583	-0.00674036
C4021	18.33333333	-0.073724419494031	-0.0100098202777593	-0.0477394623858889	-0.00213310068013689	0.113005	-0.0108214	0.145139	-0.0112918
C4022	20	0.0396443647738944	0.0486690857807397	-0.000369208798240151	-0.0492045514267754	0.108441	-0.0112055	0.100017	-0.0118338
C4024	27	-0.117047244865722	0.0131249212571281	-0.0253137670237959	0.112786090023663	-0.0489149	0.141875	0.0102577	-0.0232851
C4025	29.33333333	-0.042289861147943	0.0253643439770267	-0.0398816840462875	0.0233915170125529	0.111848	-0.00864325	0.140121	-0.00958402
C4026	19.33333333	-0.237071012946057	0.0554898786494956	-0.135987790913153	-0.0795804293992072	0.0930969	-0.0122593	-0.143752	0.00611368
C4027	23.66666667	-0.0917364406396287	0.0489578468887711	-0.0100277401497693	0.0617165896813358	0.107792	-0.00883514	0.0762006	-0.00625987
C4029	25	-0.0824234908743787	0.0131046576632093	0.0678242565239076	0.0594888435819687	-0.0467193	0.103709	-0.00384367	-0.213602
C4030	18.33333333	-0.0664060398735733	0.075597258549077	0.128522752290137	0.0330922390597789	0.0926056	-0.0104485	-0.0435122	-0.0123516
D4031	18	-0.0215502700870478	0.0725483806111425	0.111631586505121	0.139997921686041	0.0970948	-0.010476	-0.0309803	-0.0165687
D4033	17	-0.244693138921357	0.0430591352291751	0.0670049331650607	0.00301010037138225	0.0931768	-0.0119241	-0.134379	-0.00151453
D4034	40.33333333	0.127754640159911	0.0238842063020268	0.0639988343782069	0.0207485788095716	-0.0609107	-0.073415	-0.00293563	0.00401331
D4035	25	0.0494167813664833	-0.0175533082679022	0.0978185009766219	-0.0119474214960684	0.0912299	-0.0113749	-0.134182	-0.0017497
