tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
C4021	6.67	-0.055356242220638	-0.0141163984400979	-0.0923287144703062	0.147511355287748	0.113005	-0.0108214	0.145139	-0.0112918
C4022	8.67	-0.0715174409752124	-0.0124827658875378	-0.0368558720982178	0.0645697271606996	0.108441	-0.0112055	0.100017	-0.0118338
C4024	18.67	-0.0225645967776686	-0.0133398716520486	-0.0372318418583475	-0.052544365720481	-0.0489149	0.141875	0.0102577	-0.0232851
C4025	17.33	-0.157137856060376	0.0946812525868329	-0.00985617182739897	-0.028939514918898	0.111848	-0.00864325	0.140121	-0.00958402
C4026	12	-0.0425957498729986	0.135735019215181	0.0267698183493767	0.0989821228167319	0.0930969	-0.0122593	-0.143752	0.00611368
C4027	9.33	-0.193991320889707	0.044273021588084	-0.0723500865693154	0.00962890165635071	0.107792	-0.00883514	0.0762006	-0.00625987
C4029	14.67	0.0476758862888914	0.118016506630417	0.019692285563509	-0.0241481879182946	-0.0467193	0.103709	-0.00384367	-0.213602
C4030	7.33	-0.0126497254491568	0.0815408539433699	-0.041590209357423	-0.00500617389091443	0.0926056	-0.0104485	-0.0435122	-0.0123516
D4031	12.33	-0.0586313890221802	0.0647105453842401	-0.0278287094578096	-0.118359758320778	0.0970948	-0.010476	-0.0309803	-0.0165687
D4033	8.67	-0.163122089014521	0.129578429422997	0.00848650887962011	-0.00949960811644067	0.0931768	-0.0119241	-0.134379	-0.00151453
D4034	22	0.111914763294395	0.0652187687896685	0.0134137311071299	0.103289294376471	-0.0609107	-0.073415	-0.00293563	0.00401331
D4035	13.67	0.112185759822418	0.0974563172835693	-0.0402787229308329	-0.0512723623214721	0.0912299	-0.0113749	-0.134182	-0.0017497
D4036	20.33	0.277316434906097	-0.0192201267944138	0.0411388361135691	-0.0504777670595124	-0.0524033	0.142886	0.00932954	-0.0791788
D4037	15.67	0.126532624903429	0.109582656633178	0.0392682586438319	0.0694348788533498	-0.0680057	-0.0736708	0.00674474	-0.0232684
D4039	11.33	0.0637190007708774	0.0531949253166288	0.00838857078749894	-0.079265409746989	-0.0554393	0.147477	-0.000671581	-0.104999
D4040	16.67	0.0415652602120544	0.0569728568932113	0.0255696698094771	0.107771722711408	-0.0687515	-0.077186	0.00863757	-0.0177891
E4041	21.33	0.294312558031981	-0.165272373320598	-0.131862907464508	0.0656181872739119	-0.0567722	-0.0627666	0.00236994	-0.0173632
E4042	19.33	0.0511388005762024	-0.141676241833111	-0.209518597104079	0.070463974290414	0.0934292	-0.00980998	-0.127891	-0.00485921
E4043	20.33	0.200496555369035	0.0170695646327041	0.0654944901025602	0.0359717498781138	-0.0682547	-0.0791869	0.00602106	-0.00635922
E4044	9	0.00843162977244109	-0.123276897168571	0.0338878762127565	-0.0155982047763406	-0.0693451	-0.0739219	0.00617997	-0.0243434
E4045	24.67	0.121870872898018	0.033431390701456	-0.0411873780445823	0.00192528732398669	-0.0657217	-0.0676641	0.00240964	0.00845197
E4046	14	0.175713206884329	-0.140070761579856	-0.136178984356023	-0.0132237204957327	-0.0489568	0.132163	-0.000945884	-0.150685
E4047	17	0.176755867221848	-0.113493377109009	-0.0778536055087631	-0.0479801962779333	-0.0605465	-0.0658763	0.00563265	-0.0244702
E4048	10.67	0.228928772477109	-0.114763029788145	-0.221809310724484	0.0953042962564051	-0.0724752	-0.0528895	0.00711652	0.0410813
E4050	14.67	0.101997667452915	-0.184779580536628	-0.142667497387698	-0.00180578214657143	-0.0702621	-0.076676	0.00867946	-0.0214063
F4054	15.33	-0.0877975355123214	-0.197026965292891	-0.0157686886724115	-0.00372322173233576	-0.0684979	-0.0765321	0.00962449	-0.00707717
F4055	10	0.0976731460094992	-0.200666318398745	0.027440675108586	-0.0390016892477978	-0.0698925	-0.0648524	0.00746741	-0.00279227
F4056	22	0.154288968743877	0.0368785458313066	-0.0155753151127197	0.0203712384133379	-0.0660725	-0.072803	0.00744257	0.00590357
F4057	13.67	0.109180607650759	0.0562082458866834	0.0944985461589969	0.0404071254485013	-0.0704645	-0.0752919	0.00870764	0.021422
F4058	8	-0.0532202447355047	-0.0207862206060119	-0.106653385786717	0.0565528581847736	0.094387	-0.0109203	-0.111988	0.00136969
F4060	12	0.122082594923162	-0.0523778727053586	0.0157707406759624	0.0227333511020056	-0.0714963	-0.0783898	0.00679225	0.0191403
G4061	8.5	0.148593554417734	-0.0726985271377743	-0.145762481990739	0.00824068972659443	-0.0685867	-0.0696528	0.00864502	0.0259185
G4062	20.67	0.147687928038163	-0.027412055210709	-0.0173659207753374	0.011942941721104	-0.066225	-0.0583674	0.00618587	0.057932
G4063	6.33	0.073402115022071	0.0675661245567892	-0.0421788769860203	0.0893196871819659	0.0961906	-0.0102102	-0.126889	-0.000706775
G4065	11	-0.147138646852559	-0.0810807417234486	0.00358036252945846	0.039404368730436	-0.0678901	-0.0783496	0.00786041	0.0134993
G4066	9.33	0.0788627744621338	0.103216673291526	-0.0465862553302385	-0.0951831579153165	-0.0713106	-0.0617876	0.00522831	0.015456
G4068	8.67	-0.0607854576844122	-0.0644034944141516	-0.000976514843743191	-0.0922547766829913	-0.0446902	0.0917612	-0.0046114	-0.136643
G4069	11.67	-0.105322127556058	-0.15036354164092	0.0990492558827874	-0.0240526479964872	-0.0461331	0.130609	-0.00204164	-0.128231
G4070	10.33	0.0614102095048011	0.148723677586831	0.0207496402803201	0.0331865085230405	-0.0510957	0.139777	0.00214508	-0.088802
H4071	7	-0.16481441542654	0.0060296116461412	0.0214218744180495	0.0341503617280329	0.106976	-0.00403741	0.14415	0.000413222
H4074	11.67	0.164153858817324	-0.0824380611131944	0.0378496119641824	-0.0358756491375551	-0.0683858	-0.0540151	0.00626603	0.0413047
H4075	8.67	-0.102368324775222	0.223681891401531	-0.10043417644619	0.0910047274847785	0.10969	-0.00875383	0.136394	-0.00540429
H4076	26.67	0.092827410431266	-0.0414939616062588	0.0807841767003759	-0.0265811217886959	-0.0645608	-0.0689663	0.00192488	0.0070532
H4077	14.33	-0.0292300055443451	0.0677716319381118	0.00577531220422609	-0.0980978182354414	0.09823	-0.0118491	-0.152939	-0.00069672
H4079	13.33	0.00801518076090444	-0.0243503288594371	0.0837907717779882	0.01421707725582	-0.0709958	-0.0761087	0.00622331	-0.00252562
H4080	24.67	0.295556691865331	0.0227787178690762	0.0430967970764101	-0.0402977006566146	-0.0709273	-0.0721765	0.00496249	-0.0169805
J4083	14.33	-0.171007858562894	-0.0794066297334353	-0.0367232269662662	0.0601719757968905	0.112538	-0.0109973	0.143822	-0.0124682
J4085	5.67	-0.173913073286848	0.0117026876098931	-0.235684629727094	-0.0528893127708547	0.0948203	-0.0133712	-0.152161	0.00228451
J4086	9.67	-0.0507536844334261	0.0554332498764659	0.01497402889584	0.0300473608108153	0.112448	-0.010138	0.146639	-0.0117473
J4087	24	-0.0303182234322333	-0.0427604860548573	0.0974667799710158	0.00791288826589775	-0.0644594	-0.0694293	0.00929239	-0.0405597
J4088	18.67	-0.0223226247452671	-0.118826998209503	-0.185499998772204	-0.0179499173563526	-0.0718364	-0.074727	0.00821682	-0.0270235
J4089	15.67	-0.122232578878487	-0.115462959595609	0.00422350356651024	0.0965197255307031	0.112339	-0.0101749	0.143929	-0.0119017
J4090	10.33	-0.147315005492063	0.0659397449004048	-0.37081595607297	-0.122267878633621	0.1076	-0.00472215	0.141403	0.00128687
K4091	6	-0.223787906808855	-0.0371440682774947	-0.0402506415734584	0.164011052329518	0.112647	-0.0096096	0.143816	-0.0124199
K4092	14	0.0252443387429171	0.0986046637111599	-0.0366401673119496	-0.107098278685695	0.0938336	-0.0102626	-0.0253094	-0.0110732
K4093	19.33	0.276225815323573	0.0083981665028761	0.0342333789431569	-0.024147676533105	-0.0700063	-0.0271774	0.0106958	0.068977
K4094	5	0.0203075221448408	-0.0218484005166778	0.0634309181799871	0.0156411412672399	0.10557	-0.0106008	0.0148501	-0.00434438
K4096	26.67	0.0561458760574375	0.0656509422459098	-0.00931169007006394	-0.0794557764925773	-0.0590871	-0.0648808	-0.00594783	-0.0241537
K4097	13	-0.090795376013851	0.000879594847059672	0.0916743961394118	-0.116355753205725	-0.0548514	0.1479	0.00285545	-0.0477777
K4098	12	-0.256853186183406	-0.0257878349514783	-0.072282251993693	-0.0225279456996726	0.076921	-0.0147751	-0.0737152	0.00616752
L4101	10	-0.201791174395437	0.0164929496544561	0.0178150513194111	-0.0627040736914185	0.110352	-0.0076191	0.152735	-0.00607001
L4103	10.33	-0.258244696907227	0.0186283075103705	0.093741329871487	-0.0743551346986168	0.111054	-0.00758351	0.132262	-0.0144718
L4105	8.33	0.267578488940021	-0.0112543029517178	-0.00841261942344819	0.0380269509527823	-0.0358872	-0.0565615	-0.0325529	0.0239007
L4106	21.33	0.0100772236335018	0.0793417044363776	0.0288953655371836	-0.0088370873556954	-0.0484664	0.0931128	-0.00818637	-0.229725
L4107	9.33	-0.196653234620536	0.101246494968767	0.0187621847389734	-0.0446410423875809	0.0906751	-0.0117603	-0.121243	0.00445765
L4108	10.67	-0.201137602382095	-0.11228743813883	0.095185978797317	-0.0529441480486982	0.105167	-0.00284456	0.144727	0.0011106
L4109	9.67	0.113407987891423	0.0476771944211033	0.0425138184945102	-0.0302997360158783	-0.0479796	0.0922466	-0.0083715	-0.221823
L4110	18.67	0.0980891944813922	-0.12398695791334	0.00834531366535602	-0.0352085485132872	-0.0664615	-0.0701607	0.00827884	-0.0284323
M4111	22.33	0.0792190536327446	0.0322128128103242	0.0295946802756321	0.0807230125845917	-0.0485135	0.124837	-0.00976982	-0.211428
M4112	11.67	0.00363021575470308	0.0295006872053717	0.0651088854556135	0.024031739923679	-0.070012	-0.0798307	0.011707	-0.00206241
M4113	12	0.175594568632754	-0.00246857709825985	0.069264599124711	-0.0385174519524161	-0.0704172	-0.0710298	0.00606319	0.0109454
M4114	20.33	0.0407546471618287	-0.0178183735940232	0.12207885354059	0.0139246461227438	-0.0650542	-0.0665854	0.00703773	-0.0486059
M4115	11.67	0.0428541552797967	0.0578698666346107	0.0598134325003659	-0.0298172956170391	-0.0675634	-0.0670014	0.00558117	-0.0151294
M4116	20.33	0.0261241504421975	0.170453452219108	-0.00901484507966887	0.0559942680134353	-0.0495352	0.142932	0.0056888	-0.0869806
M4117	14.33	-0.0635854276847152	0.193414910585329	-0.0298749453215726	0.057281838012121	-0.0709532	-0.0748062	0.00574313	-0.0128261
M4118	15	0.0564856064861672	0.0401168794506331	0.10101833685232	0.135856638901267	-0.0696479	-0.0609816	0.0086454	0.0432503
M4119	22.67	0.0363062767762179	0.0646407839855251	0.0495494018593882	0.0629516047244702	-0.0718854	-0.0728284	0.005308	-0.016001
N4121	29.33	0.0611065474211384	0.00851833192011221	0.0927553446593501	0.0381184618893619	-0.0678804	-0.0302837	0.00556046	0.0880114
N4122	15	-0.0596678141612463	0.0103672215007718	0.0747689568366463	-0.070820860968323	-0.0562398	0.140898	-0.000542163	-0.181108
N4123	8.33	-0.199450882526343	-0.127256580991666	0.0180515305660793	0.0603823128214079	0.109387	-0.00811218	0.0567082	-0.00851269
N4124	25.33	0.086062374569989	0.0473407520981319	0.0559697665705892	0.00187900857283845	-0.053055	0.152045	-0.00112762	-0.131504
N4126	25.33	0.225613920609132	0.0354498983338907	0.0365208093375377	-0.0196789476678059	-0.0628028	-0.0687763	0.0089338	0.0199656
N4127	14.33	0.161604007579848	0.0388152732709371	0.0279528288525423	0.00316438227393407	-0.0675651	-0.0716838	0.00343367	0.00816097
N4128	22.33	0.0764178030151154	0.060194564866196	0.0502377448736142	0.00222635556226355	-0.0506521	0.149661	-0.00288917	-0.117817
