tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group	tiller	height	wetWeight
[38,45)	60.3333333333333	93.2433333333333	India	19.2231	78.1418	Subcontinent	IND	40.3333333333333	T5	[38,45)	40.3333333333333	60.3333333333333	93.2433333333333
[23,30)	67.3333333333333	78.93	Malaysia	1.8331	113.502	SouthPacific	TRJ	25	T3	[23,30)	25	67.3333333333333	78.93
[30,37)	76.6666666666667	96.9833333333333	Pakistan	30.6447	74.6999	Subcontinent	AUS	30	T4	[30,37)	30	76.6666666666667	96.9833333333333
[23,30)	78.3333333333333	93.6633333333333	Korea	37.1662	126.366	NorthPacific	IND	27.6666666666667	T3	[23,30)	27.6666666666667	78.3333333333333	93.6633333333333
[23,30)	61	49.9266666666667	Uruguay	-32.211	-56.0197	SouthAmerica	AUS	23.6666666666667	T3	[23,30)	23.6666666666667	61	49.9266666666667
[23,30)	79.6666666666667	97.69	Taiwan	22.0908	121.428	China	IND	29.3333333333333	T3	[23,30)	29.3333333333333	79.6666666666667	97.69
[30,37)	104	124.256666666667	Vietnam	16.8168	105.544	SoutheastAsia	IND	35.3333333333333	T4	[30,37)	35.3333333333333	104	124.256666666667
[30,37)	88.6666666666667	91.77	Indonesia	-1.96229	101.791	SouthPacific	TRJ	33	T4	[30,37)	33	88.6666666666667	91.77
[30,37)	73	97.5233333333333	Guyana	3.80502	-57.1456	SouthAmerica	IND	35.6666666666667	T4	[30,37)	35.6666666666667	73	97.5233333333333
[23,30)	102.333333333333	180.47	SriLanka	7.02404	81.393	Subcontinent	IND	24.3333333333333	T3	[23,30)	24.3333333333333	102.333333333333	180.47
[30,37)	70.3333333333333	94.35	Malaysia	1.97136	110.966	SouthPacific	IND	31.3333333333333	T4	[30,37)	31.3333333333333	70.3333333333333	94.35
[23,30)	92.6666666666667	133.913333333333	Myanmar	16.8504	97.1346	SoutheastAsia	AUS	25.6666666666667	T3	[23,30)	25.6666666666667	92.6666666666667	133.913333333333
[30,37)	95.3333333333333	111.303333333333	Suriname	2.75086	-56.5343	SouthAmerica	IND	34.3333333333333	T4	[30,37)	34.3333333333333	95.3333333333333	111.303333333333
[16,23)	51	29.4133333333333	Guinea	9.40946	-10.4584	Africa	IND	20.6666666666667	T2	[16,23)	20.6666666666667	51	29.4133333333333
[30,37)	110	130.393333333333	China	35.5537	103.395	China	IND	30	T4	[30,37)	30	110	130.393333333333
[30,37)	88.6666666666667	109.906666666667	Thailand	15.1354	100.393	SoutheastAsia	IND	30.6666666666667	T4	[30,37)	30.6666666666667	88.6666666666667	109.906666666667
[23,30)	99.3333333333333	149.126666666667	Chad	13.5779	18.2232	Africa	IND	26.6666666666667	T3	[23,30)	26.6666666666667	99.3333333333333	149.126666666667
[30,37)	65.3333333333333	91.3133333333333	Malaysia	2.89662	102.324	SouthPacific	IND	33.3333333333333	T4	[30,37)	33.3333333333333	65.3333333333333	91.3133333333333
[30,37)	55.3333333333333	95.97	Ecuador	0.330314	-81.3986	SouthAmerica	IND	30.3333333333333	T4	[30,37)	30.3333333333333	55.3333333333333	95.97
[16,23)	74.6666666666667	84.9166666666667	Zaire	1.15745	23.707	Africa	TRJ	17.6666666666667	T2	[16,23)	17.6666666666667	74.6666666666667	84.9166666666667
[30,37)	67.6666666666667	111.826666666667	Kazakhstan	48.3979	67.0198	Balkans	IND	33.6666666666667	T4	[30,37)	33.6666666666667	67.6666666666667	111.826666666667
[23,30)	60	86.93	Thailand	13.9579	99.6854	SoutheastAsia	IND	27	T3	[23,30)	27	60	86.93
[30,37)	59	74.4133333333333	Philippines	16.0132	122.161	SouthPacific	IND	31	T4	[30,37)	31	59	74.4133333333333
[16,23)	74.3333333333333	59.16	Guinea	9.29	-13.49	Africa	TRJ	15.6666666666667	T2	[16,23)	15.6666666666667	74.3333333333333	59.16
[16,23)	77	81.1166666666667	Philippines	15.6611	120.451	SouthPacific	IND	20.3333333333333	T2	[16,23)	20.3333333333333	77	81.1166666666667
[30,37)	85.3333333333333	125.313333333333	SriLanka	7.717	81.7	Subcontinent	IND	32.3333333333333	T4	[30,37)	32.3333333333333	85.3333333333333	125.313333333333
[23,30)	108.666666666667	181.216666666667	Nepal	27.445	82.9558	Subcontinent	AUS	26	T3	[23,30)	26	108.666666666667	181.216666666667
[30,37)	89.3333333333333	179.82	Iran	31.2367	51.0068	Mideast	AUS	29.6666666666667	T4	[30,37)	29.6666666666667	89.3333333333333	179.82
[30,37)	71.6666666666667	97.7733333333333	Bhutan	27.3	90.617	Subcontinent	AUS	35.6666666666667	T4	[30,37)	35.6666666666667	71.6666666666667	97.7733333333333
[30,37)	84.6666666666667	149.953333333333	Tajikistan	39.1759	71.2467	Balkans	TEJ	30.6666666666667	T4	[30,37)	30.6666666666667	84.6666666666667	149.953333333333
[23,30)	70.1666666666667	124.793333333333	India	29.0509	77.2151	Subcontinent	IND	26.3333333333333	T3	[23,30)	26.3333333333333	70.1666666666667	124.793333333333
[16,23)	88	96.7466666666667	Hungary	47.6612	18.9556	EasternEurope	TEJ	19.3333333333333	T2	[16,23)	19.3333333333333	88	96.7466666666667
[38,45)	53.3333333333333	94.4933333333333	Cuba	23.322	-83.6698	CentralAmerica	IND	38.6666666666667	T5	[38,45)	38.6666666666667	53.3333333333333	94.4933333333333
[23,30)	70.6666666666667	84.4866666666667	Peru	-10.0887	-76.2088	SouthAmerica	TRJ	25	T3	[23,30)	25	70.6666666666667	84.4866666666667
[23,30)	107	118.46	India	31.3013	75.1656	Subcontinent	IND	23.6666666666667	T3	[23,30)	23.6666666666667	107	118.46
[23,30)	80	82.47	China	23.5282	114.028	China	IND	28.3333333333333	T3	[23,30)	28.3333333333333	80	82.47
[30,37)	79.6666666666667	136.406666666667	Japan	36.7219	138.22	NorthPacific	TEJ	32.6666666666667	T4	[30,37)	32.6666666666667	79.6666666666667	136.406666666667
[16,23)	102.666666666667	120.706666666667	Haiti	19.8263	-72.1007	CentralAmerica	TRJ	16.3333333333333	T2	[16,23)	16.3333333333333	102.666666666667	120.706666666667
[30,37)	67.8333333333333	98.34	UnitedStates	34.0368	-92.1069	NorthAmerica	TRJ	30	T4	[30,37)	30	67.8333333333333	98.34
[30,37)	78.6666666666667	99.0733333333333	Taiwan	22.5065	121.949	China	IND	33.6666666666667	T4	[30,37)	33.6666666666667	78.6666666666667	99.0733333333333
[23,30)	112.666666666667	180.44	China	29.8509	107.389	China	IND	28.6666666666667	T3	[23,30)	28.6666666666667	112.666666666667	180.44
>=45	77	136.773333333333	Japan	35.2265	138.586	NorthPacific	TEJ	47.3333333333333	T6	>=45	47.3333333333333	77	136.773333333333
[23,30)	82	117.236666666667	Turkey	37.533	43.5	Mideast	TEJ	27.6666666666667	T3	[23,30)	27.6666666666667	82	117.236666666667
<16	101.666666666667	116.496666666667	Japan	38.1872	138.717	NorthPacific	TEJ	15.3333333333333	T1	<16	15.3333333333333	101.666666666667	116.496666666667
[16,23)	69.6666666666667	64.9333333333333	Myanmar	17.965	96.8093	SoutheastAsia	TRJ	20.6666666666667	T2	[16,23)	20.6666666666667	69.6666666666667	64.9333333333333
[30,37)	70.3333333333333	98.0333333333333	Nepal	28.7445	81.7418	Subcontinent	IND	31.6666666666667	T4	[30,37)	31.6666666666667	70.3333333333333	98.0333333333333
<16	56	44.8	Italy	43.0739	10.9219	WesternEurope	TEJ	10.6666666666667	T1	<16	10.6666666666667	56	44.8
[30,37)	70	84.1766666666667	Mexico	17.7656	-97.4986	NorthAmerica	IND	31.3333333333333	T4	[30,37)	31.3333333333333	70	84.1766666666667
[16,23)	93.3333333333333	127.663333333333	India	21.5446	84.4994	Subcontinent	AUS	20	T2	[16,23)	20	93.3333333333333	127.663333333333
[38,45)	93.6666666666667	174.27	Taiwan	22.6146	122.794	China	TRJ	37.3333333333333	T5	[38,45)	37.3333333333333	93.6666666666667	174.27
[23,30)	90.3333333333333	129.996666666667	Hungary	46.3824	19.052	EasternEurope	TEJ	29.3333333333333	T3	[23,30)	29.3333333333333	90.3333333333333	129.996666666667
[23,30)	92	126.276666666667	Portugal	38.42	-9.1	WesternEurope	TEJ	29	T3	[23,30)	29	92	126.276666666667
>=45	66.3333333333333	129.393333333333	Philippines	15.4201	120.845	SouthPacific	IND	44	T6	>=45	44	66.3333333333333	129.393333333333
[23,30)	81.6666666666667	69.2	India	25.9432	92.2	Subcontinent	AUS	24	T3	[23,30)	24	81.6666666666667	69.2
[23,30)	80.6666666666667	105.643333333333	Indonesia	-8.15	122.088	SouthPacific	TRJ	23.6666666666667	T3	[23,30)	23.6666666666667	80.6666666666667	105.643333333333
[23,30)	97.6666666666667	132.606666666667	Afghanistan	36.1566	67.8055	Subcontinent	TEJ	24	T3	[23,30)	24	97.6666666666667	132.606666666667
[16,23)	104	158.49	India	25.75	93.25	Subcontinent	AUS	22	T2	[16,23)	22	104	158.49
[38,45)	96.6666666666667	196.296666666667	Taiwan	23.3621	119.983	China	IND	39.3333333333333	T5	[38,45)	39.3333333333333	96.6666666666667	196.296666666667
[38,45)	58.3333333333333	69.6166666666667	India	21.1805	78.3261	Subcontinent	AUS	38	T5	[38,45)	38	58.3333333333333	69.6166666666667
[30,37)	62.6666666666667	92.4733333333333	HongKong	24.2979	113.759	China	IND	34	T4	[30,37)	34	62.6666666666667	92.4733333333333
[38,45)	69	80.3866666666667	Cambodia	12.2551	104.507	SoutheastAsia	IND	43.3333333333333	T5	[38,45)	43.3333333333333	69	80.3866666666667
[23,30)	76.3333333333333	83.59	Italy	41.7092	12.3055	WesternEurope	IND	25	T3	[23,30)	25	76.3333333333333	83.59
[23,30)	87	99.6233333333333	India	20.694	83.3553	Subcontinent	IND	23	T3	[23,30)	23	87	99.6233333333333
[23,30)	58	87.22	Mali	12.8481	-7.95841	Africa	AUS	26.3333333333333	T3	[23,30)	26.3333333333333	58	87.22
[16,23)	65.6666666666667	46.24	Thailand	15.7332	100.488	SoutheastAsia	IND	21.3333333333333	T2	[16,23)	21.3333333333333	65.6666666666667	46.24
[23,30)	57.3333333333333	54.6833333333333	Philippines	14.6431	120.458	SouthPacific	IND	23.6666666666667	T3	[23,30)	23.6666666666667	57.3333333333333	54.6833333333333
[23,30)	64	57.1933333333333	Taiwan	25.7093	121.297	China	IND	23.6666666666667	T3	[23,30)	23.6666666666667	64	57.1933333333333
[30,37)	73.6666666666667	94.72	India	19.4558	76.7588	Subcontinent	IND	30.6666666666667	T4	[30,37)	30.6666666666667	73.6666666666667	94.72
[23,30)	82	122.133333333333	Nepal	27.095	85.1042	Subcontinent	AUS	28.3333333333333	T3	[23,30)	28.3333333333333	82	122.133333333333
<16	112.666666666667	142.2	Spain	39.315	-3.41141	WesternEurope	TEJ	13	T1	<16	13	112.666666666667	142.2
[23,30)	73	83.3233333333333	Indonesia	-7.04691	108.765	SouthPacific	AUS	28.3333333333333	T3	[23,30)	28.3333333333333	73	83.3233333333333
[38,45)	42	90.0466666666667	Indonesia	-6.29513	106.042	SouthPacific	IND	41.6666666666667	T5	[38,45)	41.6666666666667	42	90.0466666666667
[16,23)	68	57.6533333333333	DominicanRepublic	17.7339	-69.7105	CentralAmerica	IND	18	T2	[16,23)	18	68	57.6533333333333
[30,37)	75	107.46	Fiji	-19.496	178.326	SouthPacific	AUS	32.6666666666667	T4	[30,37)	32.6666666666667	75	107.46
[16,23)	63.5	36.06	Zaire	-0.413294	26.6185	Africa	TRJ	15.5	T2	[16,23)	15.5	63.5	36.06
[30,37)	71.6666666666667	98.3166666666667	India	19.39	83.4699	Subcontinent	IND	34.3333333333333	T4	[30,37)	34.3333333333333	71.6666666666667	98.3166666666667
[23,30)	94	150.926666666667	Egypt	27.736	29.0454	Mideast	AUS	24	T3	[23,30)	24	94	150.926666666667
[38,45)	71.3333333333333	113.79	Argentina	-34.4964	-58.2098	SouthAmerica	AUS	42	T5	[38,45)	42	71.3333333333333	113.79
[30,37)	80.6666666666667	92.2066666666667	Uzbekistan	40.2637	70.689	Balkans	IND	32.6666666666667	T4	[30,37)	32.6666666666667	80.6666666666667	92.2066666666667
<16	109.333333333333	111.793333333333	Myanmar	23.2717	97.8197	SoutheastAsia	TRJ	10.6666666666667	T1	<16	10.6666666666667	109.333333333333	111.793333333333
[16,23)	100.333333333333	148.86	Azerbaijan	39.793	46.9282	Balkans	TEJ	21	T2	[16,23)	21	100.333333333333	148.86
[23,30)	69.6666666666667	120.423333333333	Thailand	13.2888	101.079	SoutheastAsia	IND	29	T3	[23,30)	29	69.6666666666667	120.423333333333
[38,45)	68	131.37	Philippines	17.284	121.447	SouthPacific	IND	40	T5	[38,45)	40	68	131.37
<16	87.3333333333333	61.6533333333333	Vietnam	20.6384	106.046	SoutheastAsia	IND	14	T1	<16	14	87.3333333333333	61.6533333333333
[23,30)	69.3333333333333	77.9366666666667	China	38.7705	119.224	China	IND	24.3333333333333	T3	[23,30)	24.3333333333333	69.3333333333333	77.9366666666667
[30,37)	61.3333333333333	76.5666666666667	China	38.4703	115.311	China	IND	31.3333333333333	T4	[30,37)	31.3333333333333	61.3333333333333	76.5666666666667
[30,37)	76	155.333333333333	China	39.208	114.85	China	IND	36.3333333333333	T4	[30,37)	36.3333333333333	76	155.333333333333
[23,30)	62	74.63	China	39.3757	115.99	China	IND	27.3333333333333	T3	[23,30)	27.3333333333333	62	74.63
[23,30)	73	129.23	China	39.5004	115.471	China	TEJ	27	T3	[23,30)	27	73	129.23
[23,30)	75.6666666666667	102.31	Turkey	39.983	42.567	Mideast	TEJ	23.6666666666667	T3	[23,30)	23.6666666666667	75.6666666666667	102.31
[23,30)	90.3333333333333	129.503333333333	Japan	35.6778	138.023	NorthPacific	TEJ	26	T3	[23,30)	26	90.3333333333333	129.503333333333
>=45	101.666666666667	173.923333333333	Japan	35.6002	138.827	NorthPacific	AUS	44	T6	>=45	44	101.666666666667	173.923333333333
[23,30)	89.6666666666667	90.4766666666667	SriLanka	6.24301	81.427	Subcontinent	AUS	25.3333333333333	T3	[23,30)	25.3333333333333	89.6666666666667	90.4766666666667
[23,30)	78.6666666666667	77.83	SriLanka	5.79231	81.2498	Subcontinent	AUS	23	T3	[23,30)	23	78.6666666666667	77.83
[23,30)	86	73.5	SriLanka	6.10952	81.3417	Subcontinent	AUS	23	T3	[23,30)	23	86	73.5
[38,45)	63	75.5633333333333	Cambodia	15.8754	104.35	SoutheastAsia	IND	37.6666666666667	T5	[38,45)	37.6666666666667	63	75.5633333333333
[23,30)	102	176.236666666667	Vietnam	16.8012	105.296	SoutheastAsia	AUS	27	T3	[23,30)	27	102	176.236666666667
[30,37)	77.3333333333333	122.063333333333	Bangladesh	24.7346	88.7922	Subcontinent	AUS	33.3333333333333	T4	[30,37)	33.3333333333333	77.3333333333333	122.063333333333
[23,30)	79.6666666666667	90.9833333333333	Bangladesh	22.3788	91.6177	Subcontinent	AUS	28.3333333333333	T3	[23,30)	28.3333333333333	79.6666666666667	90.9833333333333
[23,30)	100	180.19	Bangladesh	24.924	89.5763	Subcontinent	AUS	28.3333333333333	T3	[23,30)	28.3333333333333	100	180.19
[30,37)	69.3333333333333	62.31	Uzbekistan	41.7316	70.2067	Balkans	AUS	30.3333333333333	T4	[30,37)	30.3333333333333	69.3333333333333	62.31
[38,45)	72.3333333333333	113.706666666667	SierraLeone	9.09027	-11.8061	Africa	AUS	39.6666666666667	T5	[38,45)	39.6666666666667	72.3333333333333	113.706666666667
[23,30)	78.3333333333333	104.8	Nepal	28.05	81.617	Subcontinent	IND	28	T3	[23,30)	28	78.3333333333333	104.8
[38,45)	113.666666666667	234.733333333333	Afghanistan	31.617	65.717	Subcontinent	AUS	39.6666666666667	T5	[38,45)	39.6666666666667	113.666666666667	234.733333333333
[16,23)	92.3333333333333	66.57	Portugal	38.7613	-8.03134	WesternEurope	TEJ	16	T2	[16,23)	16	92.3333333333333	66.57
[30,37)	87	132.086666666667	SriLanka	7.09891	79.3386	Subcontinent	IND	32.6666666666667	T4	[30,37)	32.6666666666667	87	132.086666666667
[23,30)	75.3333333333333	79.8166666666667	Indonesia	-8.49154	122.598	SouthPacific	TRJ	27	T3	[23,30)	27	75.3333333333333	79.8166666666667
[30,37)	95.6666666666667	158.953333333333	Malaysia	2.73445	110.203	SouthPacific	TRJ	31	T4	[30,37)	31	95.6666666666667	158.953333333333
[38,45)	97.3333333333333	182.446666666667	India	32.0393	73.8355	Subcontinent	AUS	41.3333333333333	T5	[38,45)	41.3333333333333	97.3333333333333	182.446666666667
[16,23)	84	87.74	Chad	16.0526	21.0676	Africa	AUS	19.6666666666667	T2	[16,23)	19.6666666666667	84	87.74
[23,30)	104.333333333333	163.22	Bangladesh	23.4118	88.3161	Subcontinent	AUS	29	T3	[23,30)	29	104.333333333333	163.22
[30,37)	92.6666666666667	152.453333333333	Mali	17.1716	-2.37513	Africa	AUS	30.3333333333333	T4	[30,37)	30.3333333333333	92.6666666666667	152.453333333333
[23,30)	103.333333333333	150.533333333333	Pakistan	34.017	71.55	Subcontinent	AUS	29	T3	[23,30)	29	103.333333333333	150.533333333333
[23,30)	98	181.46	Bulgaria	42.1597	24.1737	EasternEurope	TEJ	22.6666666666667	T3	[23,30)	22.6666666666667	98	181.46
[30,37)	107	184.576666666667	Kazakhstan	46.2713	69.2312	Balkans	AUS	33	T4	[30,37)	33	107	184.576666666667
[23,30)	88	128.64	RussianFederation	43.6307	132.363	EasternEurope	TEJ	25.6666666666667	T3	[23,30)	25.6666666666667	88	128.64
[23,30)	72.6666666666667	78.36	Vietnam	15.4424	104.548	SoutheastAsia	TRJ	23.3333333333333	T3	[23,30)	23.3333333333333	72.6666666666667	78.36
[23,30)	79.3333333333333	104.713333333333	Jamaica	17.0456	-76.9894	CentralAmerica	IND	23.6666666666667	T3	[23,30)	23.6666666666667	79.3333333333333	104.713333333333
[23,30)	93.3333333333333	149.683333333333	Myanmar	18.2742	96.2619	SoutheastAsia	IND	27.3333333333333	T3	[23,30)	27.3333333333333	93.3333333333333	149.683333333333
[23,30)	88.6666666666667	138.326666666667	Thailand	11.988	101.372	SoutheastAsia	IND	22.6666666666667	T3	[23,30)	22.6666666666667	88.6666666666667	138.326666666667
[16,23)	97.6666666666667	123.333333333333	India	26.7915	92.2167	Subcontinent	IND	17	T2	[16,23)	17	97.6666666666667	123.333333333333
[16,23)	77	77.92	Brunei	-4.667	114.667	SouthPacific	TRJ	18.6666666666667	T2	[16,23)	18.6666666666667	77	77.92
[23,30)	84.6666666666667	133.076666666667	Bulgaria	46.0897	26.4442	EasternEurope	TRJ	27.6666666666667	T3	[23,30)	27.6666666666667	84.6666666666667	133.076666666667
[38,45)	78.3333333333333	92.54	Japan	41.8413	141.9	NorthPacific	IND	39.3333333333333	T5	[38,45)	39.3333333333333	78.3333333333333	92.54
[30,37)	74.3333333333333	101.526666666667	HongKong	24.1056	115.42	China	IND	36	T4	[30,37)	36	74.3333333333333	101.526666666667
>=45	85	209.886666666667	BurkinaFaso	13.5886	-1.13074	Africa	IND	47.6666666666667	T6	>=45	47.6666666666667	85	209.886666666667
<16	85	57.94	Burundi	-3.5	30	Africa	IND	14.6666666666667	T1	<16	14.6666666666667	85	57.94
[16,23)	105.666666666667	158.186666666667	SierraLeone	8.53267	-11.2119	Africa	AUS	20	T2	[16,23)	20	105.666666666667	158.186666666667
[30,37)	93.3333333333333	119.056666666667	SriLanka	6.9975	81.1485	Subcontinent	AUS	29.6666666666667	T4	[30,37)	29.6666666666667	93.3333333333333	119.056666666667
[16,23)	78	64.2333333333333	Uncertain	NA	NA		TRJ	17.3333333333333	T2	[16,23)	17.3333333333333	78	64.2333333333333
[38,45)	79.3333333333333	178.226666666667	Indochina	14.7286	101.241	SoutheastAsia	IND	42.6666666666667	T5	[38,45)	42.6666666666667	79.3333333333333	178.226666666667
<16	105.666666666667	142.576666666667	RussianFederation	44.7223	38.2919	EasternEurope	TEJ	14	T1	<16	14	105.666666666667	142.576666666667
[23,30)	53.6666666666667	73.2966666666667	Brazil	-14.5368	-45.1984	SouthAmerica	TRJ	24	T3	[23,30)	24	53.6666666666667	73.2966666666667
[23,30)	66.3333333333333	87.4966666666667	CoteDIvoire	5.71182	-6.6676	Africa	TRJ	22.6666666666667	T3	[23,30)	22.6666666666667	66.3333333333333	87.4966666666667
[16,23)	62	115.1	UnitedStates	34.7475	-91.5883	NorthAmerica	TRJ	20	T2	[16,23)	20	62	115.1
[30,37)	54	81.0633333333333	Philippines	32.8307	-92.6377	SouthPacific	IND	35.6666666666667	T4	[30,37)	35.6666666666667	54	81.0633333333333
[30,37)	73	136.01	UnitedStates	32.6024	-91.017	NorthAmerica	TEJ	34.3333333333333	T4	[30,37)	34.3333333333333	73	136.01
