ID	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
D4035	0.107	0.0115	1244.1	0.967	0.699	52.6	145.6	12640	1240	0.451	0.0333	4.98	7.19	2.16
D4036	0.136	0.0111	1196.6	0.966	0.698	50.9	140.6	12640	1193	0.437	0.0344	4.95	7.14	2.15
D4037	0.0974	0.0133	1237.9	0.972	0.719	63.3	167.5	12640	1234	0.425	0.0276	5.12	7.39	2.22
D4039	0.112	0.0158	1362.9	0.975	0.734	72.7	199.2	12640	1360	0.418	0.0252	5.29	7.64	2.3
E4043	0.115	0.014	1234.8	0.974	0.727	67.3	176.4	12640	1232	0.41	0.0264	5.17	7.46	2.25
E4045	0.0729	0.0171	1257.5	0.982	0.754	93.3	216.2	12640	1254	0.411	0.0182	5.38	7.76	2.33
F4056	0.103	0.0138	1255.8	0.973	0.724	65	174.8	12640	1252	0.417	0.0272	5.16	7.45	2.24
G4062	0.154	0.00745	1067.2	0.948	0.652	32.8	94.2	12640	1063	0.443	0.0519	4.55	6.56	1.97
G4063	0.135	0.0137	1286.1	0.97	0.721	61.6	173.7	12640	1283	0.418	0.0302	5.16	7.44	2.24
G4066	0.0959	0.00973	1128.6	0.966	0.685	47.2	123	12640	1126	0.414	0.0342	4.81	6.94	2.09
G4070	0.151	0.007	1098.6	0.95	0.641	32.3	88.5	12640	1094	0.487	0.0498	4.48	6.47	1.95
H4075	0.181	0.00617	964.5	0.948	0.634	31	78	12640	961	0.463	0.0519	4.36	6.29	1.89
H4076	0.161	0.00726	1082.4	0.947	0.647	31.5	91.7	12640	1080	0.435	0.0532	4.52	6.52	1.96
H4077	0.232	0.00661	1041	0.931	0.637	26.6	83.5	12640	1037	0.472	0.0686	4.42	6.38	1.92
H4080	0.0992	0.00994	1114	0.966	0.689	48.4	125.7	12640	1110	0.436	0.0339	4.83	6.97	2.1
K4092	0.205	0.00766	1123.9	0.938	0.651	29.4	96.9	12640	1120	0.436	0.0622	4.57	6.6	1.99
K4093	0.124	0.0102	1174.9	0.965	0.688	47.7	129.1	12640	1171	0.439	0.0349	4.86	7.01	2.11
K4094	0.219	0.00478	931.8	0.927	0.6	22.2	60.4	12640	927	0.489	0.0727	4.1	5.92	1.78
K4096	0.187	0.00749	1135.7	0.938	0.647	28.5	94.6	12640	1133	0.416	0.0623	4.55	6.56	1.98
L4105	0.12	0.0121	1252.8	0.969	0.705	56.4	152.7	12640	1249	0.448	0.0308	5.03	7.25	2.18
L4106	0.119	0.0138	1281.4	0.967	0.722	58	174.9	12640	1278	0.406	0.0332	5.16	7.45	2.24
M4111	0.174	0.0107	1229.6	0.955	0.69	42	135.2	12640	1226	0.43	0.0452	4.91	7.08	2.13
M4112	0.139	0.0129	1208.4	0.968	0.719	57.7	163.7	12640	1205	0.406	0.0322	5.1	7.35	2.21
M4113	0.0741	0.0156	1272.5	0.98	0.74	83.6	197.3	12640	1269	0.427	0.0196	5.28	7.62	2.3
M4114	0.0978	0.0154	1276.1	0.977	0.738	77.2	195	12640	1273	0.401	0.0226	5.27	7.61	2.29
M4115	0.139	0.00956	1166.5	0.957	0.679	40.9	120.8	12640	1162	0.451	0.0428	4.79	6.92	2.08
M4116	0.173	0.00604	1111.2	0.937	0.618	25.5	76.4	12640	1108	0.451	0.0632	4.34	6.26	1.88
M4117	0.26	0.00516	1026.6	0.912	0.603	19.7	65.2	12640	1023	0.446	0.088	4.18	6.03	1.81
M4118	0.161	0.0098	1120.8	0.955	0.687	40.5	123.9	12640	1118	0.405	0.0453	4.82	6.95	2.09
M4119	0.178	0.00629	1084.8	0.935	0.626	25.9	79.5	12640	1081	0.458	0.0645	4.38	6.31	1.9
N4121	0.151	0.0118	1230.8	0.963	0.704	50.2	149.3	12640	1228	0.405	0.037	5.01	7.22	2.17
N4122	0.164	0.0071	1074.4	0.948	0.645	31.6	89.8	12640	1070	0.466	0.0524	4.5	6.49	1.95
N4124	0.118	0.0148	1259	0.974	0.733	70.1	186.9	12640	1256	0.407	0.0261	5.23	7.55	2.27
N4126	0.118	0.0136	1265.1	0.97	0.721	61.5	172	12640	1263	0.391	0.0295	5.15	7.43	2.24
N4127	0.144	0.0106	1237.6	0.961	0.688	45.5	133.7	12640	1234	0.438	0.0387	4.9	7.06	2.13
N4128	0.136	0.00866	1067.2	0.957	0.674	40.2	109.4	12640	1064	0.427	0.0427	4.7	6.77	2.04
N4129	0.239	0.00795	1180	0.923	0.652	25.3	100.5	12640	1177	0.416	0.0766	4.61	6.65	2
N4130	0.0776	0.0149	1245.5	0.978	0.735	76.9	188.4	12640	1243	0.392	0.022	5.24	7.56	2.28
P4132	0.121	0.0113	1199.1	0.968	0.7	54.1	142.6	12640	1195	0.471	0.032	4.96	7.16	2.15
P4134	0.217	0.00485	1032.7	0.91	0.593	18.6	61.3	12640	1030	0.451	0.0898	4.12	5.94	1.79
P4135	0.105	0.0069	963.7	0.96	0.651	37.3	87.2	12640	960	0.453	0.0401	4.47	6.45	1.94
Q4141	0.196	0.0104	1125.6	0.952	0.694	41.6	130.9	12640	1123	0.411	0.0478	4.87	7.03	2.12
S4168	0.13	0.0112	1205.1	0.966	0.698	50.7	141.6	12640	1202	0.435	0.0344	4.95	7.15	2.15
S4169	0.234	0.00799	1151.4	0.932	0.655	28.4	100.9	12640	1148	0.427	0.0681	4.61	6.66	2
T4172	0.102	0.00901	1067.5	0.964	0.679	44.4	113.8	12640	1064	0.436	0.0363	4.73	6.83	2.06
T4174	0.221	0.00551	1031.5	0.929	0.612	23.7	69.6	12640	1028	0.468	0.0705	4.24	6.12	1.84
W4193	0.239	0.00754	1097.1	0.932	0.651	28.3	95.3	12640	1094	0.432	0.068	4.56	6.57	1.98
W4194	0.226	0.00815	1238	0.93	0.651	27.1	103	12640	1235	0.426	0.07	4.63	6.69	2.01
W4200	0.0892	0.00872	1039.9	0.966	0.677	45.8	110.2	12640	1037	0.434	0.0337	4.7	6.78	2.04
X4203	0.0791	0.0112	1191.7	0.97	0.699	54.7	141.2	12640	1189	0.418	0.0298	4.95	7.14	2.15
X4205	0.185	0.00488	894.1	0.937	0.607	24.4	61.6	12640	890	0.467	0.0633	4.12	5.95	1.79
X4208	0.151	0.0101	1143.8	0.963	0.69	47.3	128.3	12640	1140	0.436	0.037	4.85	7	2.11
X4209	0.372	0.00268	1000.6	0.832	0.51	9.44	33.8	12640	997	0.465	0.168	3.52	5.08	1.53
Y4212	0.227	0.00493	980.8	0.914	0.6	19.5	62.3	12640	978	0.435	0.0863	4.13	5.96	1.79
Y4213	0.248	0.00359	962.9	0.882	0.555	13.7	45.3	12640	959	0.474	0.118	3.81	5.5	1.66
Y4214	0.271	0.00362	938.6	0.89	0.559	14.7	45.8	12640	935	0.474	0.11	3.82	5.52	1.66
Y4215	0.136	0.00905	1093.4	0.961	0.678	42.8	114.4	12640	1090	0.432	0.0392	4.74	6.84	2.06
D4040	0.192	0.00584	953.3	0.938	0.627	26.8	73.8	12640	950	0.453	0.0618	4.3	6.21	1.87
F4057	0.125	0.0103	1180.2	0.967	0.689	50.8	130.6	12640	1177	0.449	0.033	4.87	7.03	2.12
J4087	0.207	0.00549	1014.3	0.928	0.613	23.1	69.4	12640	1010	0.463	0.0719	4.24	6.12	1.84
Q4142	0.121	0.00804	1065.6	0.959	0.663	39.2	101.7	12640	1063	0.429	0.0412	4.62	6.67	2.01
Q4143	0.212	0.00635	1012	0.936	0.634	27.2	80.3	12640	1008	0.469	0.0637	4.39	6.33	1.9
Q4144	0.159	0.00751	1079	0.95	0.652	33.7	94.9	12640	1076	0.44	0.0495	4.55	6.57	1.98
Q4146	0.107	0.00843	1061.1	0.965	0.67	44.2	106.5	12640	1058	0.442	0.0353	4.67	6.73	2.03
R4151	0.208	0.00627	1050	0.933	0.629	25.7	79.3	12640	1046	0.45	0.0668	4.37	6.31	1.9
R4152	0.175	0.00667	1067.3	0.938	0.636	27.6	84.3	12640	1063	0.466	0.0623	4.43	6.4	1.93
R4153	0.204	0.00695	1100.6	0.934	0.639	26.9	87.8	12640	1098	0.429	0.0659	4.47	6.46	1.94
R4154	0.18	0.00673	1027.4	0.944	0.641	30	85.1	12640	1023	0.47	0.0562	4.44	6.41	1.93
R4156	0.211	0.00697	1022.2	0.941	0.647	30.1	88	12640	1018	0.466	0.0594	4.48	6.46	1.94
R4157	0.269	0.00457	1012.6	0.902	0.587	17.4	57.8	12640	1009	0.457	0.0976	4.06	5.85	1.76
B4017	0.0597	0.0205	1352.9	0.986	0.771	118.3	258.5	12640	1350	0.401	0.0141	5.55	8.01	2.41
E4041	0.0673	0.0161	1204.3	0.985	0.75	100	203.7	12640	1199	0.447	0.0153	5.32	7.67	2.31
E4042	0.0975	0.0129	1103.7	0.978	0.727	74.5	163	12640	1100	0.414	0.0215	5.09	7.35	2.21
E4046	0.0681	0.0152	1179.2	0.982	0.744	87.8	192.4	12640	1176	0.41	0.0181	5.26	7.59	2.28
E4047	0.0967	0.0127	1169	0.976	0.72	67.4	160.9	12640	1165	0.431	0.0245	5.08	7.33	2.21
E4048	0.0738	0.0125	1084.7	0.979	0.725	74.3	157.9	12640	1080	0.439	0.0208	5.06	7.3	2.2
E4050	0.0977	0.0139	1195.8	0.978	0.73	74.8	175.9	12640	1191	0.438	0.0224	5.17	7.46	2.25
S4161	0.078	0.0149	1198.8	0.979	0.739	80.5	188.1	12640	1196	0.404	0.0208	5.24	7.56	2.27
S4162	0.139	0.00908	1124.3	0.96	0.676	42	114.8	12640	1120	0.452	0.0402	4.74	6.84	2.06
S4165	0.123	0.00713	958.8	0.957	0.656	36.5	90.1	12640	955	0.434	0.043	4.5	6.49	1.95
S4167	0.103	0.0095	1112.3	0.965	0.683	46.9	120.1	12640	1108	0.453	0.0347	4.79	6.91	2.08
F4054	0.0993	0.0106	1031.1	0.974	0.707	60.3	134.4	12640	1028	0.418	0.026	4.9	7.07	2.13
F4055	0.0846	0.0105	1083.6	0.97	0.699	54.6	132.4	12640	1080	0.434	0.0296	4.89	7.05	2.12
F4060	0.11	0.0129	1177.7	0.975	0.72	67.3	162.6	12640	1175	0.422	0.0254	5.09	7.35	2.21
J4086	0.108	0.00993	1072.3	0.97	0.693	52.7	125.5	12640	1069	0.445	0.0302	4.83	6.97	2.1
H4074	0.0601	0.0165	1231.7	0.984	0.75	99	208	12640	1228	0.439	0.0157	5.34	7.7	2.32
H4071	0.265	0.00375	894.1	0.899	0.568	15.9	47.3	12640	891	0.459	0.101	3.86	5.56	1.68
J4083	0.145	0.0062	916.1	0.952	0.64	32.6	78.4	12640	912	0.47	0.0483	4.36	6.29	1.89
J4085	0.14	0.00911	1088.7	0.964	0.679	45.6	115.2	12640	1085	0.437	0.0364	4.75	6.85	2.06
J4088	0.0585	0.0163	1180.3	0.984	0.753	98.8	205.9	12640	1177	0.413	0.016	5.33	7.69	2.31
J4089	0.132	0.0102	1062.8	0.967	0.698	51.5	129.2	12640	1060	0.402	0.0327	4.86	7.01	2.11
J4090	0.111	0.0168	1282.8	0.978	0.749	82.2	211.9	12640	1280	0.39	0.0223	5.36	7.73	2.33
K4091	0.162	0.00677	970.6	0.952	0.647	33.8	85.6	12640	966	0.46	0.0477	4.45	6.42	1.93
K4098	0.138	0.00676	1003	0.951	0.644	32.7	85.5	12640	999	0.453	0.0489	4.45	6.42	1.93
N4123	0.181	0.00467	779.5	0.943	0.613	26.3	59	12640	775	0.472	0.057	4.08	5.88	1.77
P4138	0.146	0.00445	768.6	0.945	0.607	26	56.2	12640	764	0.473	0.0553	4.03	5.81	1.75
P4139	0.139	0.00505	870.2	0.947	0.614	27.6	63.8	12640	866	0.464	0.0531	4.16	6	1.8
P4140	0.0858	0.00953	971.8	0.975	0.697	59.2	120.4	12640	968	0.45	0.0252	4.79	6.91	2.08
Q4145	0.139	0.0112	1103.5	0.969	0.708	56.8	142.1	12640	1100	0.435	0.0311	4.96	7.15	2.15
Q4147	0.127	0.00613	916.4	0.957	0.638	34.1	77.4	12640	912	0.465	0.0434	4.35	6.28	1.89
Q4148	0.113	0.0117	1202.2	0.971	0.705	58.5	148.5	12640	1199	0.433	0.0287	5	7.21	2.17
Q4149	0.118	0.00934	1123.7	0.961	0.68	43.9	118.1	12640	1119	0.468	0.0386	4.77	6.88	2.07
Q4150	0.0571	0.0181	1212.6	0.986	0.766	114.4	229	12640	1209	0.421	0.0136	5.43	7.84	2.36
S4170	0.169	0.00549	950.2	0.938	0.619	25.8	69.4	12640	947	0.449	0.0617	4.24	6.12	1.84
T4171	0.0856	0.0125	1130.4	0.977	0.721	70.6	158.6	12640	1126	0.44	0.0226	5.07	7.31	2.2
T4173	0.0574	0.0141	992.8	0.985	0.751	97.3	177.9	12640	989	0.419	0.0149	5.18	7.47	2.25
T4175	0.183	0.00717	1059.1	0.947	0.647	32.4	90.7	12640	1055	0.481	0.0527	4.51	6.5	1.96
G4061	0.0812	0.0138	1140.2	0.98	0.734	79.7	174.8	12640	1137	0.412	0.0198	5.16	7.45	2.24
T4177	0.201	0.00564	966.8	0.939	0.621	26.8	71.3	12640	963	0.477	0.0612	4.27	6.16	1.85
T4178	0.123	0.0126	1125.2	0.974	0.722	66.4	158.7	12640	1122	0.426	0.0261	5.07	7.31	2.2
T4179	0.142	0.00789	967.2	0.962	0.67	41.8	99.7	12640	963	0.447	0.0383	4.6	6.64	2
W4195	0.0645	0.0187	1331.2	0.985	0.76	109.8	236.1	12640	1328	0.424	0.0146	5.46	7.88	2.37
W4196	0.0778	0.0123	1177.7	0.976	0.714	66	155.8	12640	1173	0.45	0.0244	5.05	7.28	2.19
W4197	0.0967	0.0129	1099.8	0.978	0.727	73.1	162.6	12640	1096	0.409	0.022	5.09	7.35	2.21
W4198	0.28	0.00493	999.8	0.906	0.598	18.9	62.3	12640	997	0.437	0.0936	4.13	5.96	1.79
W4199	0.116	0.0106	1175.9	0.966	0.693	50.1	133.4	12640	1172	0.448	0.0341	4.89	7.06	2.13
X4204	0.123	0.0102	1062.7	0.969	0.698	53.9	129.4	12640	1059	0.439	0.0306	4.86	7.02	2.11
Y4211	0.176	0.00663	917.7	0.952	0.649	34	83.8	12640	914	0.444	0.0483	4.43	6.39	1.92
A4001	0.127	0.00972	1057.3	0.966	0.691	49.2	122.9	12640	1054	0.446	0.0343	4.81	6.94	2.09
A4002	0.15	0.00826	1030	0.961	0.67	42.1	104.4	12640	1026	0.449	0.0392	4.65	6.71	2.02
A4008	0.106	0.0133	1217.7	0.976	0.721	68.9	168	12640	1214	0.435	0.0245	5.12	7.39	2.23
A4010	0.0899	0.0138	1076.1	0.979	0.74	79.5	174.3	12640	1072	0.422	0.0209	5.16	7.45	2.24
B4020	0.158	0.00693	986	0.949	0.649	32.7	87.6	12640	982	0.445	0.0509	4.47	6.45	1.94
C4021	0.15	0.00637	958	0.95	0.64	31.6	80.5	12640	954	0.466	0.0502	4.39	6.33	1.91
C4022	0.128	0.00935	1041.2	0.966	0.687	48.5	118.2	12640	1038	0.423	0.0335	4.77	6.88	2.07
C4027	0.152	0.00596	903.1	0.945	0.635	29.8	75.4	12640	899	0.472	0.0546	4.32	6.24	1.88
E4044	0.0996	0.00983	1014.7	0.971	0.697	54.3	124.3	12640	1012	0.411	0.0288	4.82	6.96	2.09
F4058	0.15	0.007	917.7	0.956	0.658	36.5	88.5	12640	914	0.462	0.0445	4.48	6.47	1.95
G4065	0.145	0.00992	1119.6	0.961	0.689	44.7	125.4	12640	1116	0.428	0.0393	4.83	6.97	2.1
G4068	0.116	0.016	1296.1	0.975	0.741	74.5	202.4	12640	1293	0.413	0.0252	5.31	7.66	2.31
G4069	0.0766	0.0139	1220.5	0.978	0.728	74.3	176.2	12640	1217	0.409	0.0221	5.17	7.46	2.25
H4079	0.0975	0.0141	1208	0.978	0.73	75	177.9	12640	1205	0.423	0.0224	5.18	7.48	2.25
K4097	0.18	0.00655	1080	0.937	0.633	27	82.7	12640	1076	0.452	0.0625	4.42	6.37	1.92
L4101	0.16	0.00678	1002.3	0.949	0.644	32.4	85.7	12640	999	0.442	0.051	4.45	6.42	1.93
L4103	0.178	0.0056	1049.6	0.933	0.613	24.1	70.8	12640	1045	0.466	0.0672	4.26	6.15	1.85
L4107	0.136	0.0115	1239.3	0.961	0.699	47	144.8	12640	1236	0.422	0.0395	4.98	7.18	2.16
L4108	0.132	0.00602	860.7	0.953	0.641	32.6	76	12640	857	0.457	0.047	4.33	6.25	1.88
L4109	0.0804	0.0192	1358	0.981	0.762	97.4	243.1	12640	1355	0.403	0.0188	5.49	7.93	2.39
L4110	0.0722	0.0161	1173.5	0.984	0.753	96.7	204	12640	1169	0.426	0.0164	5.32	7.67	2.31
R4155	0.157	0.00806	1138.8	0.943	0.657	31.2	101.9	12640	1136	0.413	0.0566	4.62	6.67	2.01
R4158	0.158	0.00852	1169.7	0.945	0.663	33.1	107.7	12640	1166	0.44	0.0548	4.68	6.75	2.03
S4166	0.102	0.0139	1136.5	0.978	0.735	75.9	175.9	12640	1133	0.415	0.0222	5.17	7.46	2.25
X4206	0.122	0.0104	1152.7	0.967	0.692	50.4	131.5	12640	1150	0.419	0.0331	4.88	7.04	2.12
X4210	0.0739	0.0163	1228.2	0.981	0.749	87.6	205.7	12640	1225	0.393	0.0192	5.33	7.68	2.31
Y4216	0.222	0.00866	1203.3	0.936	0.662	30.6	109.5	12640	1200	0.43	0.0636	4.7	6.77	2.04
