rownames	tiller_raw	height	wetWeight	Latitude	Longitude	Subspecies	tiller_cat	soil
F4057	30.33333333	55.33333333	95.97	0.330314	-81.3986	IND	T4	HN
F4058	17.66666667	74.66666667	84.91666667	1.15745	23.707	TRJ	T2	HN
F4060	33.66666667	67.66666667	111.8266667	48.3979	67.0198	IND	T4	HN
G4061	27	60	86.93	13.9579	99.6854	IND	T3	HN
G4062	31	59	74.41333333	16.0132	122.161	IND	T4	HN
G4063	15.66666667	74.33333333	59.16	9.29	-13.49	TRJ	T2	HN
G4065	20.33333333	77	81.11666667	15.6611	120.451	IND	T2	HN
G4066	32.33333333	85.33333333	125.3133333	7.717	81.7	IND	T4	HN
G4068	26	108.6666667	181.2166667	27.445	82.9558	AUS	T3	HN
G4069	29.66666667	89.33333333	179.82	31.2367	51.0068	AUS	T4	HN
G4070	35.66666667	71.66666667	97.77333333	27.3	90.617	AUS	T4	HN
H4071	30.66666667	84.66666667	149.9533333	39.1759	71.2467	TEJ	T4	HN
H4074	26.33333333	70.16666667	124.7933333	29.0509	77.2151	IND	T3	HN
H4075	19.33333333	88	96.74666667	47.6612	18.9556	TEJ	T2	HN
H4076	38.66666667	53.33333333	94.49333333	23.322	-83.6698	IND	T5	HN
H4077	25	70.66666667	84.48666667	-10.0887	-76.2088	TRJ	T3	HN
H4079	23.66666667	107	118.46	31.3013	75.1656	IND	T3	HN
H4080	28.33333333	80	82.47	23.5282	114.028	IND	T3	HN
J4083	32.66666667	79.66666667	136.4066667	36.7219	138.22	TEJ	T4	HN
J4085	16.33333333	102.6666667	120.7066667	19.8263	-72.1007	TRJ	T2	HN
J4086	30	67.83333333	98.34	34.0368	-92.1069	TRJ	T4	HN
J4087	33.66666667	78.66666667	99.07333333	22.5065	121.949	IND	T4	HN
J4088	28.66666667	112.6666667	180.44	29.8509	107.389	IND	T3	HN
J4089	47.33333333	77	136.7733333	35.2265	138.586	TEJ	T6	HN
J4090	27.66666667	82	117.2366667	37.533	43.5	TEJ	T3	HN
K4091	15.33333333	101.6666667	116.4966667	38.1872	138.717	TEJ	T1	HN
K4092	20.66666667	69.66666667	64.93333333	17.965	96.8093	TRJ	T2	HN
K4093	31.66666667	70.33333333	98.03333333	28.7445	81.7418	IND	T4	HN
K4094	10.66666667	56	44.8	43.0739	10.9219	TEJ	T1	HN
K4096	31.33333333	70	84.17666667	17.7656	-97.4986	IND	T4	HN
K4097	20	93.33333333	127.6633333	21.5446	84.4994	AUS	T2	HN
K4098	37.33333333	93.66666667	174.27	22.6146	122.794	TRJ	T5	HN
L4101	29.33333333	90.33333333	129.9966667	46.3824	19.052	TEJ	T3	HN
L4103	29	92	126.2766667	38.42	-9.1	TEJ	T3	HN
L4105	44	66.33333333	129.3933333	15.4201	120.845	IND	T6	HN
L4106	24	81.66666667	69.2	25.9432	92.2	AUS	T3	HN
L4107	23.66666667	80.66666667	105.6433333	-8.15	122.088	TRJ	T3	HN
L4108	24	97.66666667	132.6066667	36.1566	67.8055	TEJ	T3	HN
L4109	22	104	158.49	25.75	93.25	AUS	T2	HN
L4110	39.33333333	96.66666667	196.2966667	23.3621	119.983	IND	T5	HN
M4111	38	58.33333333	69.61666667	21.1805	78.3261	AUS	T5	HN
M4112	34	62.66666667	92.47333333	24.2979	113.759	IND	T4	HN
M4113	43.33333333	69	80.38666667	12.2551	104.507	IND	T5	HN
M4114	25	76.33333333	83.59	41.7092	12.3055	IND	T3	HN
M4115	23	87	99.62333333	20.694	83.3553	IND	T3	HN
M4116	26.33333333	58	87.22	12.8481	-7.95841	AUS	T3	HN
M4117	21.33333333	65.66666667	46.24	15.7332	100.488	IND	T2	HN
M4118	23.66666667	57.33333333	54.68333333	14.6431	120.458	IND	T3	HN
M4119	23.66666667	64	57.19333333	25.7093	121.297	IND	T3	HN
N4121	30.66666667	73.66666667	94.72	19.4558	76.7588	IND	T4	HN
N4122	28.33333333	82	122.1333333	27.095	85.1042	AUS	T3	HN
N4123	13	112.6666667	142.2	39.315	-3.41141	TEJ	T1	HN
N4124	28.33333333	73	83.32333333	-7.04691	108.765	AUS	T3	HN
N4126	41.66666667	42	90.04666667	-6.29513	106.042	IND	T5	HN
N4127	18	68	57.65333333	17.7339	-69.7105	IND	T2	HN
N4128	32.66666667	75	107.46	-19.496	178.326	AUS	T4	HN
N4129	15.5	63.5	36.06	-0.413294	26.6185	TRJ	T2	HN
N4130	34.33333333	71.66666667	98.31666667	19.39	83.4699	IND	T4	HN
P4132	24	94	150.9266667	27.736	29.0454	AUS	T3	HN
P4134	42	71.33333333	113.79	-34.4964	-58.2098	AUS	T5	HN
P4135	32.66666667	80.66666667	92.20666667	40.2637	70.689	IND	T4	HN
P4138	10.66666667	109.3333333	111.7933333	23.2717	97.8197	TRJ	T1	HN
P4139	21	100.3333333	148.86	39.793	46.9282	TEJ	T2	HN
P4140	29	69.66666667	120.4233333	13.2888	101.079	IND	T3	HN
Q4141	40	68	131.37	17.284	121.447	IND	T5	HN
Q4142	14	87.33333333	61.65333333	20.6384	106.046	IND	T1	HN
Q4143	24.33333333	69.33333333	77.93666667	38.7705	119.224	IND	T3	HN
Q4144	31.33333333	61.33333333	76.56666667	38.4703	115.311	IND	T4	HN
Q4145	36.33333333	76	155.3333333	39.208	114.85	IND	T4	HN
Q4146	27.33333333	62	74.63	39.3757	115.99	IND	T3	HN
Q4147	27	73	129.23	39.5004	115.471	TEJ	T3	HN
Q4148	23.66666667	75.66666667	102.31	39.983	42.567	TEJ	T3	HN
Q4149	26	90.33333333	129.5033333	35.6778	138.023	TEJ	T3	HN
Q4150	44	101.6666667	173.9233333	35.6002	138.827	AUS	T6	HN
R4151	25.33333333	89.66666667	90.47666667	6.24301	81.427	AUS	T3	HN
R4152	23	78.66666667	77.83	5.79231	81.2498	AUS	T3	HN
R4153	23	86	73.5	6.10952	81.3417	AUS	T3	HN
R4154	37.66666667	63	75.56333333	15.8754	104.35	IND	T5	HN
R4155	27	102	176.2366667	16.8012	105.296	AUS	T3	HN
R4156	33.33333333	77.33333333	122.0633333	24.7346	88.7922	AUS	T4	HN
R4157	28.33333333	79.66666667	90.98333333	22.3788	91.6177	AUS	T3	HN
R4158	28.33333333	100	180.19	24.924	89.5763	AUS	T3	HN
S4161	30.33333333	69.33333333	62.31	41.7316	70.2067	AUS	T4	HN
S4162	39.66666667	72.33333333	113.7066667	9.09027	-11.8061	AUS	T5	HN
S4165	28	78.33333333	104.8	28.05	81.617	IND	T3	HN
S4166	39.66666667	113.6666667	234.7333333	31.617	65.717	AUS	T5	HN
S4167	16	92.33333333	66.57	38.7613	-8.03134	TEJ	T2	HN
S4168	32.66666667	87	132.0866667	7.09891	79.3386	IND	T4	HN
S4169	27	75.33333333	79.81666667	-8.49154	122.598	TRJ	T3	HN
S4170	31	95.66666667	158.9533333	2.73445	110.203	TRJ	T4	HN
T4171	41.33333333	97.33333333	182.4466667	32.0393	73.8355	AUS	T5	HN
T4172	19.66666667	84	87.74	16.0526	21.0676	AUS	T2	HN
T4173	29	104.3333333	163.22	23.4118	88.3161	AUS	T3	HN
T4174	30.33333333	92.66666667	152.4533333	17.1716	-2.37513	AUS	T4	HN
T4175	29	103.3333333	150.5333333	34.017	71.55	AUS	T3	HN
T4177	22.66666667	98	181.46	42.1597	24.1737	TEJ	T3	HN
T4178	33	107	184.5766667	46.2713	69.2312	AUS	T4	HN
T4179	25.66666667	88	128.64	43.6307	132.363	TEJ	T3	HN
W4193	23.33333333	72.66666667	78.36	15.4424	104.548	TRJ	T3	HN
W4194	23.66666667	79.33333333	104.7133333	17.0456	-76.9894	IND	T3	HN
W4195	27.33333333	93.33333333	149.6833333	18.2742	96.2619	IND	T3	HN
W4196	22.66666667	88.66666667	138.3266667	11.988	101.372	IND	T3	HN
W4197	17	97.66666667	123.3333333	26.7915	92.2167	IND	T2	HN
W4198	18.66666667	77	77.92	-4.667	114.667	TRJ	T2	HN
W4199	27.66666667	84.66666667	133.0766667	46.0897	26.4442	TRJ	T3	HN
W4200	39.33333333	78.33333333	92.54	41.8413	141.9	IND	T5	HN
X4203	36	74.33333333	101.5266667	24.1056	115.42	IND	T4	HN
X4204	47.66666667	85	209.8866667	13.5886	-1.13074	IND	T6	HN
X4205	14.66666667	85	57.94	-3.5	30	IND	T1	HN
X4206	20	105.6666667	158.1866667	8.53267	-11.2119	AUS	T2	HN
X4208	29.66666667	93.33333333	119.0566667	6.9975	81.1485	AUS	T4	HN
X4209	17.33333333	78	64.23333333	NA	NA	TRJ	T2	HN
X4210	42.66666667	79.33333333	178.2266667	14.7286	101.241	IND	T5	HN
Y4211	14	105.6666667	142.5766667	44.7223	38.2919	TEJ	T1	HN
Y4212	24	53.66666667	73.29666667	-14.5368	-45.1984	TRJ	T3	HN
Y4213	22.66666667	66.33333333	87.49666667	5.71182	-6.6676	TRJ	T3	HN
Y4214	20	62	115.1	34.7475	-91.5883	TRJ	T2	HN
Y4215	35.66666667	54	81.06333333	32.8307	-92.6377	IND	T4	HN
Y4216	34.33333333	73	136.01	32.6024	-91.017	TEJ	T4	HN
