rownames	tiller_raw	height	wetWeight	Latitude	Longitude	Subspecies	tiller_cat	soil
P4138	7.00	93.67	54.28	23.27	97.82	TRJ	T1	LN
P4139	8.33	85.67	56.31	39.79	46.93	TEJ	T2	LN
P4140	11.33	49.33	39.51	13.29	101.08	IND	T2	LN
Q4141	11.00	47.00	15.05	17.28	121.45	IND	T2	LN
Q4142	7.00	74.67	18.43	20.64	106.05	IND	T1	LN
Q4143	11.67	62.67	31.74	38.77	119.22	IND	T2	LN
Q4144	7.00	55.67	14.97	38.47	115.31	IND	T1	LN
Q4145	19.33	54.33	50.10	39.21	114.85	IND	T4	LN
Q4146	11.67	57.00	24.98	39.38	115.99	IND	T2	LN
Q4147	13.33	61.33	57.17	39.50	115.47	TEJ	T3	LN
Q4148	11.33	70.67	50.63	39.98	42.57	TEJ	T2	LN
Q4149	10.33	81.67	53.24	35.68	138.02	TEJ	T2	LN
Q4150	32.33	69.00	68.68	35.60	138.83	AUS	T6	LN
R4151	13.67	82.67	32.08	6.24	81.43	AUS	T3	LN
R4152	13.00	75.00	36.24	5.79	81.25	AUS	T3	LN
R4153	20.67	85.33	63.26	6.11	81.34	AUS	T4	LN
R4154	31.00	54.67	42.81	15.88	104.35	IND	T6	LN
R4155	12.00	71.67	58.59	16.80	105.30	AUS	T2	LN
R4156	9.33	68.00	30.21	24.73	88.79	AUS	T2	LN
R4157	9.33	63.67	25.93	22.38	91.62	AUS	T2	LN
R4158	10.67	68.67	49.63	24.92	89.58	AUS	T2	LN
S4161	16.00	63.33	28.31	41.73	70.21	AUS	T3	LN
S4162	17.33	65.33	33.17	9.09	-11.81	AUS	T3	LN
S4165	15.67	64.00	38.17	28.05	81.62	IND	T3	LN
S4166	22.67	73.00	73.78	31.62	65.72	AUS	T5	LN
S4167	9.33	80.33	28.61	38.76	-8.03	TEJ	T2	LN
S4168	13.00	72.00	43.12	7.10	79.34	IND	T3	LN
S4169	11.33	62.67	18.40	-8.49	122.60	TRJ	T2	LN
S4170	13.00	72.00	48.05	2.73	110.20	TRJ	T3	LN
T4171	16.67	76.67	58.57	32.04	73.84	AUS	T3	LN
T4172	17.00	72.00	57.15	16.05	21.07	AUS	T3	LN
T4173	15.33	91.67	73.98	23.41	88.32	AUS	T3	LN
T4174	14.33	80.67	38.68	17.17	-2.38	AUS	T3	LN
T4175	18.33	87.00	81.17	34.02	71.55	AUS	T4	LN
T4177	9.00	84.00	63.52	42.16	24.17	TEJ	T2	LN
T4178	31.00	75.00	90.84	46.27	69.23	AUS	T6	LN
T4179	10.00	77.33	46.97	43.63	132.36	TEJ	T2	LN
W4193	10.67	69.67	24.88	15.44	104.55	TRJ	T2	LN
W4194	13.00	56.67	31.93	17.05	-76.99	IND	T3	LN
W4195	15.67	67.33	50.63	18.27	96.26	IND	T3	LN
W4196	12.33	69.67	52.41	11.99	101.37	IND	T2	LN
W4197	11.00	90.33	73.95	26.79	92.22	IND	T2	LN
W4198	9.00	62.67	23.18	-4.67	114.67	TRJ	T2	LN
W4199	10.67	64.00	32.99	46.09	26.44	TRJ	T2	LN
W4200	26.00	54.33	49.01	41.84	141.90	IND	T5	LN
X4203	30.67	64.67	47.14	24.11	115.42	IND	T6	LN
X4204	20.67	53.00	50.57	13.59	-1.13	IND	T4	LN
X4205	14.67	69.00	47.51	-3.50	30.00	IND	T3	LN
X4206	7.33	88.67	49.43	8.53	-11.21	AUS	T1	LN
X4208	8.00	82.67	28.58	7.00	81.15	AUS	T2	LN
X4209	4.67	68.33	14.66	NA	NA	TRJ	T1	LN
X4210	18.00	47.33	40.60	14.73	101.24	IND	T4	LN
Y4211	7.00	94.00	55.15	44.72	38.29	TEJ	T1	LN
Y4212	6.67	46.67	19.84	-14.54	-45.20	TRJ	T1	LN
Y4213	11.33	65.00	34.56	5.71	-6.67	TRJ	T2	LN
Y4214	7.50	53.00	15.47	34.75	-91.59	TRJ	T2	LN
Y4215	18.00	43.67	26.74	32.83	-92.64	IND	T4	LN
Y4216	11.33	55.33	41.75	32.60	-91.02	TEJ	T2	LN
